제작품,만드는 작업대 수,가장 빠른 작업대,1개당 작업량(최고 속도),전체 작업대(1개당 작업량),key
M56 PGM (번아웃 쉴드탄),2,조립 작업대,348,"조립 작업대(348), 나노 조립기(2000)",T:EccentricDefenseGrid_Ordnance_M56PGM
M61 PGM (반물질탄),2,조립 작업대,348,"조립 작업대(348), 나노 조립기(2000)",T:EccentricDefenseGrid_Ordnance_M61PGM
MP-302N 기관단총 Δ,1,CMC 나노 CNC 작업대,15573,CMC 나노 CNC 작업대(15573),T:QSZ85_M
NCL5,1,기계 작업대,3478,기계 작업대(3478),T:NCL_Rifle
PF201 무반동포,1,CMC 나노 CNC 작업대,5512,CMC 나노 CNC 작업대(5512),T:CMC_RocketLauncher
QBA-101 산탄총,1,CMC 나노 CNC 작업대,3937,CMC 나노 CNC 작업대(3937),T:CMC_QBXfiveseven_CSG
QBA-102S 산탄총,1,CMC 나노 CNC 작업대,5512,CMC 나노 CNC 작업대(5512),T:CMC_QBXninenine_CSG
QBA-131R 산탄총,1,CMC 나노 CNC 작업대,3622,CMC 나노 CNC 작업대(3622),T:CMC_QBAfournine
QBB-105R 경기관총,1,CMC 나노 CNC 작업대,3937,CMC 나노 CNC 작업대(3937),T:QBB_threeoo
QBB-231R 경기관총,1,CMC 나노 CNC 작업대,5827,CMC 나노 CNC 작업대(5827),T:QBB_fivenine
QBB-302S 범용 기관총,1,CMC 나노 CNC 작업대,9449,CMC 나노 CNC 작업대(9449),T:W85XWJ
QBB-331P 펄스 다목적 기관총,1,CMC 나노 CNC 작업대,7244,CMC 나노 CNC 작업대(7244),T:CMC_PLaserLMG
QBL-40 유탄 발사기,1,CMC 나노 CNC 작업대,5512,CMC 나노 CNC 작업대(5512),T:CMC_GrenadeLauncher
QBU-131 저격소총,1,CMC 나노 CNC 작업대,3150,CMC 나노 CNC 작업대(3150),T:QBU_TOOE
QBU-231R 지정사수소총,1,CMC 나노 CNC 작업대,5827,CMC 나노 CNC 작업대(5827),T:QBU_fivenine
QBU-252L 광선 저격소총,1,CMC 나노 CNC 작업대,7244,CMC 나노 CNC 작업대(7244),T:CMC_Shaped_Laser_Sniper
QBU-303S 지정사수소총,1,CMC 나노 CNC 작업대,7087,CMC 나노 CNC 작업대(7087),T:QBUS85XWJ
QBU-371R 대물 저격소총,1,CMC 나노 CNC 작업대,9449,CMC 나노 CNC 작업대(9449),T:CMC_QBU71S
QBZ-105R 돌격소총,1,CMC 나노 CNC 작업대,3937,CMC 나노 CNC 작업대(3937),T:QBZ_threeooE
QBZ-231R 돌격소총,1,CMC 나노 CNC 작업대,5512,CMC 나노 CNC 작업대(5512),T:QBZ_fivenine
QBZ-251L 광선 소총,1,CMC 나노 CNC 작업대,1575,CMC 나노 CNC 작업대(1575),T:CMC_ShapedLaserRifle
QBZ-301S 돌격소총,1,CMC 나노 CNC 작업대,6929,CMC 나노 CNC 작업대(6929),T:QBZ_eightfiveAR
QF-M 퍼널 기반 모듈,1,CMC 주조 가공대,5984,CMC 주조 가공대(5984),T:CMC_FunnelCore_Basic
QJZ-209R 중기관총,1,CMC 나노 CNC 작업대,3937,CMC 나노 CNC 작업대(3937),T:CMC_QJZFivenine
QSC-131P 펄스 권총,1,CMC 나노 CNC 작업대,3465,CMC 나노 CNC 작업대(3465),T:CMM_PLaserpistol
QSZ-108R 권총,1,CMC 나노 CNC 작업대,787,CMC 나노 CNC 작업대(787),T:CMC_QSZfiveeight
QSZ-108S 권총,1,CMC 나노 CNC 작업대,787,CMC 나노 CNC 작업대(787),T:CMC_QSZfiveeightSmart
QSZ-231P 펄스 기관단총,1,CMC 나노 CNC 작업대,4094,CMC 나노 CNC 작업대(4094),T:CMC_PLaserSMG
QSZ-302S 기관단총,1,CMC 나노 CNC 작업대,6299,CMC 나노 CNC 작업대(6299),T:QBZS85XWJ
QSZ-57 PDW,1,CMC 나노 CNC 작업대,787,CMC 나노 CNC 작업대(787),T:CMC_QSZfiveseven
QSZ-57 스마트 카빈,1,CMC 나노 CNC 작업대,1165,CMC 나노 CNC 작업대(1165),T:CMC_QSZfiveseven_NL
QSZ-57 전자기 카빈,1,CMC 나노 CNC 작업대,1165,CMC 나노 CNC 작업대(1165),T:CMC_QSZfiveseven_MODIII
QTS-214 OICW,1,CMC 나노 CNC 작업대,9449,CMC 나노 CNC 작업대(9449),T:QBZ71_QS
QTS-301 OICW,1,CMC 나노 CNC 작업대,9449,CMC 나노 CNC 작업대(9449),T:QTS9_OICW
R-63 가우스 지정사수소총,2,밀리라 중력 직조기,21429,"밀리라 중력 직조기(21429), 태양 용광로(64286)",T:Milira_MarksmanGaussrifle
W.A.S.P. 발사기,1,태양 용광로,67857,태양 용광로(67857),T:PLAMilira_WASP
dragonian butter (Dragonian Primus),1,조미료 작업대,7,조미료 작업대(7),T:VCE_Butter_DP2Unofficial
dragonian mayo (Dragonian Primus),1,조미료 작업대,7,조미료 작업대(7),T:VCE_Mayo_DP2Unofficial
dragonian white chocolate syrup (Dragonian Primus),1,조미료 작업대,13,조미료 작업대(13),T:VCE_ChocolateSyrup_DP2Unofficial
가드,1,밀리언 배양기,1800,밀리언 배양기(1800),T:Milian_Mechanoid_PawnIII
가면,2,전기 재봉 작업대,348,"전기 재봉 작업대(348), 재봉 작업대(381)",T:Apparel_VisageMask
가속 플라즈마건,2,밀리라 중력 직조기,21429,"밀리라 중력 직조기(21429), 태양 용광로(64286)",T:Milira_TaranPlasmaGun
가시관,2,전기 단조 작업대,209,"전기 단조 작업대(209), 단조 작업대(209)",T:Apparel_TortureCrown
가짜 꼬리,2,전기 재봉 작업대,783,"전기 재봉 작업대(783), 재봉 작업대(857)",T:DR_FakeTail
가짜 꼬리 (드라고니안 프리무스),2,전기 재봉 작업대,783,"전기 재봉 작업대(783), 재봉 작업대(857)",T:DR_FakeTail_DP2Unofficial
간단한 디저트,3,전기 스토브,128,"전기 스토브(128), 스토브(128), 태양 조리대(222)",T:VCE_SimpleDessert
간단한 바베큐,1,그릴,100,그릴(100),T:VCE_SimpleGrill
간단한 빵,3,전기 스토브,96,"전기 스토브(96), 스토브(96), 태양 조리대(167)",T:VCE_SimpleBake
간단한 식사,4,전기 스토브,128,"전기 스토브(128), 스토브(128), 태양 조리대(222), 모닥불(261)",T:MealSimple
감정 송출기,1,초월공학 작업대,9727,초월공학 작업대(9727),T:PsychicHarmonizer
감정 판독기,1,초월공학 작업대,9727,초월공학 작업대(9727),T:PsychicReader
감정마비 혈청,1,혈청 연구대,372,혈청 연구대(372),T:MindNumbSerum
갑옷 피부,1,조립 작업대,4522,조립 작업대(4522),T:ArmorskinGland
강습 드론: 게부라,1,밀리라 드론 인쇄기,6522,밀리라 드론 인쇄기(6522),T:Milira_CombatDrone_FunnelBitC
강습 드론: 말쿠트,1,밀리라 드론 인쇄기,6522,밀리라 드론 인쇄기(6522),T:Milira_CombatDrone_FunnelBitB
강습 드론: 케테르,1,밀리라 드론 인쇄기,6522,밀리라 드론 인쇄기(6522),T:Milira_CombatDrone_FunnelBitD
강습 드론: 티페레트,1,밀리라 드론 인쇄기,6522,밀리라 드론 인쇄기(6522),T:Milira_CombatDrone_FunnelBitE
강철,4,전기로,2,"전기로(2), 밀리라 중력 직조기(3), 용광로(5), 태양 용광로(8)",T:Steel
강화 방탄모,1,기계 작업대,1391,기계 작업대(1391),T:Apparel_AdvancedHelmet
강화 손톱,1,기계 작업대,2609,기계 작업대(2609),T:PowerClaw
건설 기술 훈련,1,훈련용 콘솔,2500,훈련용 콘솔(2500),R:TrainingConsoleConstruction
검,2,전기 단조 작업대,2087,"전기 단조 작업대(2087), 단조 작업대(2087)",T:MeleeWeapon_Gladius
격투 기술 훈련,1,훈련용 콘솔,2500,훈련용 콘솔(2500),R:TrainingConsoleMelee
경기관총,1,기계 작업대,5913,기계 작업대(5913),T:Gun_LMG
계혈 묵두,2,전기 단조 작업대,1913,"전기 단조 작업대(1913), 단조 작업대(1913)",T:RM_ChickenBloodInkFountain
고 에너지 쉴드 코어,1,나노 조립기,10000,나노 조립기(10000),T:Eccentric_HighEnergyShieldCore
고급 란제리,2,전기 재봉 작업대,383,"전기 재봉 작업대(383), 재봉 작업대(419)",T:CAT_Apparel_LuxuryLingerie
고급 리프터,1,고급 메카 배양기,1800,고급 메카 배양기(1800),T:Mech_LifterPlus
고급 부품,5,기본 초월공학 제작대,270,"기본 초월공학 제작대(270), 중력 단조대(1054), 조립 벤치(1739), 조립 작업대(1739), 밀리라 범용 작업대(2174)",T:ComponentSpacer
고급 아그리핸드,1,고급 메카 배양기,1800,고급 메카 배양기(1800),T:Mech_AgrihandPlus
고급 약초,2,약물 연구대,952,"약물 연구대(952), 간이 제작 장소(1818)",T:VV_AdvancedHerbalMedicine
고급 초월공학 다리,1,기본 초월공학 제작대,3604,기본 초월공학 제작대(3604),T:AdvancedArchotechLeg
고급 초월공학 팔,1,기본 초월공학 제작대,3604,기본 초월공학 제작대(3604),T:AdvancedArchotechArm
고급 컨스트럭토이드,1,고급 메카 배양기,1800,고급 메카 배양기(1800),T:Mech_ConstructoidPlus
고급 클린스위퍼,1,고급 메카 배양기,1800,고급 메카 배양기(1800),T:Mech_CleansweeperPlus
고급 터널러,1,고급 메카 배양기,1800,고급 메카 배양기(1800),T:Mech_TunnelerPlus
고급 통제 서브링크,1,기계 작업대,557,기계 작업대(557),T:ControlSublinkHigh
고급 파라메딕,1,고급 메카 배양기,1800,고급 메카 배양기(1800),T:Mech_ParamedicPlus
고급 파브리코어,1,고급 메카 배양기,1800,고급 메카 배양기(1800),T:Mech_FabricorPlus
고급 팬티,2,전기 재봉 작업대,383,"전기 재봉 작업대(383), 재봉 작업대(419)",T:CAT_Apparel_LuxuryPanty
고급 프리즘 모듈,1,CMC 주조 가공대,551,CMC 주조 가공대(551),T:CMC_Accessory_Prism
고기 통조림,1,통조림 기계,3,통조림 기계(3),T:VCE_CannedMeat
고기 튀김,1,튀김기,25,튀김기(25),T:VCE_DeepFriedBigMeat
고밀도 육각 셀,1,나노 제작기,1500,나노 제작기(1500),T:Eccentric_HexCell
고에너지 물질 단위,2,밀리라 범용 작업대,652,"밀리라 범용 작업대(652), 입자 구축기(2000)",T:MEXY_HighEnergyMatterUnit
고주스,1,약물 연구대,286,약물 연구대(286),T:GoJuice
고폭탄,1,기계 작업대,139,기계 작업대(139),T:Shell_HighExplosive
곡궁,3,전기 단조 작업대,870,"전기 단조 작업대(870), 단조 작업대(870), 간이 제작 장소(4545)",T:Bow_Recurve
곤봉,3,전기 단조 작업대,209,"전기 단조 작업대(209), 단조 작업대(209), 간이 제작 장소(1091)",T:MeleeWeapon_Club
곤충 젤리 잼,1,조미료 작업대,7,조미료 작업대(7),T:VCE_InsectJellyPreserves
공간 접이기 - 시제품,1,밀리라 범용 작업대,1304,밀리라 범용 작업대(1304),T:MEXY_Space_Folder_Prototype
공간 접이기 Mk.I,1,태양 용광로,8571,태양 용광로(8571),T:MEXY_Space_Folder_I
공간 접이기 Mk.II,1,태양 용광로,14286,태양 용광로(14286),T:MEXY_Space_Folder_II
공간 접이기 Mk.III,1,태양 용광로,17857,태양 용광로(17857),T:MEXY_Space_Folder_III
공명 칩,1,입자 구축기,4500,입자 구축기(4500),T:MEXY_ResonanceImplant
공중폭발 집중 이온 방출기,1,태양 용광로,64286,태양 용광로(64286),T:PLAMilira_AirburstRocketLauncher
공포파동 발생장치,1,초월공학 작업대,27778,초월공학 작업대(27778),T:MAG_PsychicSpookPulser
공허 모노 싸이블레이드,2,밀리라 중력 직조기,20000,"밀리라 중력 직조기(20000), 태양 용광로(60000)",T:Milira_MonoPsyblade_II
공허 조각상,1,조소 작업대,6667,조소 작업대(6667),T:VoidSculpture
공허의 시야 혈청,1,혈청 연구대,203,혈청 연구대(203),T:VoidsightSerum
과부하 결정,2,밀리라 범용 작업대,1304,"밀리라 범용 작업대(1304), 입자 구축기(4500)",T:MEXY_OverloadCrystal
과일 통조림,1,통조림 기계,3,통조림 기계(3),T:VCE_CannedFruit
관통의 룬 I,1,룬 작업대,1200,룬 작업대(1200),T:Isekai_Rune_Sharpness
관통의 룬 II,1,룬 작업대,1560,룬 작업대(1560),T:Isekai_Rune_Sharpness_II
관통의 룬 III,1,룬 작업대,1920,룬 작업대(1920),T:Isekai_Rune_Sharpness_III
관통의 룬 IV,1,룬 작업대,2400,룬 작업대(2400),T:Isekai_Rune_Sharpness_IV
관통의 룬 V,1,룬 작업대,3000,룬 작업대(3000),T:Isekai_Rune_Sharpness_V
광이차,4,전기 스토브,170,"전기 스토브(170), 스토브(170), 태양 조리대(296), 모닥불(348)",T:PsychiteTea
광휘강,2,밀리라 중력 직조기,6,"밀리라 중력 직조기(6), 밀리라 범용 작업대(8)",T:Milira_SplendidSteel
교란용 조명탄 배낭,1,생체강 성형 작업대,742,생체강 성형 작업대(742),T:Apparel_DisruptorFlarePack
구울 미늘,2,생체강 성형 작업대,619,"생체강 성형 작업대(619), 간이 제작 장소(5455)",T:GhoulBarbs
구울 부활 혈청,1,혈청 연구대,237,혈청 연구대(237),T:GhoulResurrectionSerum
구울 부활 혈청 (드라고니안 프리무스),1,혈청 연구대,237,혈청 연구대(237),T:GhoulResurrectionSerum_DP2Unofficial
구울 철판,2,생체강 성형 작업대,928,"생체강 성형 작업대(928), 간이 제작 장소(8182)",T:GhoulPlating
구원의 카트리지,1,기계 작업대,209,기계 작업대(209),T:salvationkit
궁니르,1,태양 용광로,60000,태양 용광로(60000),T:PLAMilira_Gungnir
귀부인 모자,2,전기 재봉 작업대,1043,"전기 재봉 작업대(1043), 재봉 작업대(1143)",T:Apparel_HatLadies
균열 날,1,입자 구축기,45000,입자 구축기(45000),T:MEXY_RiftEdge
그레이스,1,메카노이드 배양기,1800,메카노이드 배양기(1800),T:Mech_Grace
근위대 갑옷,2,중력 단조대,10135,"중력 단조대(10135), 조립 작업대(13043)",T:Apparel_ArmorCataphract
근위대 장교 갑옷,2,중력 단조대,20270,"중력 단조대(20270), 조립 작업대(26087)",T:Apparel_ArmorCataphractPrestige
근위대 장교 헬멧,2,중력 단조대,7095,"중력 단조대(7095), 조립 작업대(9130)",T:Apparel_ArmorHelmetCataphractPrestige
근위대 헬멧,2,중력 단조대,3547,"중력 단조대(3547), 조립 작업대(4565)",T:Apparel_ArmorHelmetCataphract
금,1,전기로,10,전기로(10),T:Gold
금색 부적,3,전기 재봉 작업대,696,"전기 재봉 작업대(696), 재봉 작업대(762), 모에로틀 방직기(3636)",T:RM_GoldIncantation
금속 혈액 심장,1,생체강 성형 작업대,1361,생체강 성형 작업대(1361),T:MetalbloodHeart
금속혈액 혈청,1,혈청 연구대,304,혈청 연구대(304),T:MetalbloodSerum
기계군주 갑옷,1,조립 작업대,10435,조립 작업대(10435),T:Apparel_MechlordSuit
기계군주 헬멧,1,조립 작업대,2739,조립 작업대(2739),T:Apparel_ArmorHelmetMechlordHelmet
기계사령관 헬멧,1,기계 작업대,2739,기계 작업대(2739),T:Apparel_ArmorHelmetMechCommander
기관권총,1,기계 작업대,1913,기계 작업대(1913),T:Gun_MachinePistol
기관단총,1,기계 작업대,4174,기계 작업대(4174),T:Gun_HeavySMG
기괴한 조각상,1,조소 작업대,8333,조소 작업대(8333),T:SculptureTerror
기본 드레스 (드라고니안 프리무스),2,전기 재봉 작업대,487,"전기 재봉 작업대(487), 재봉 작업대(533)",T:DR_BasicDress_DP2Unofficial
기본 서브코어,1,서브코어 부호기,3000,서브코어 부호기(3000),T:SubcoreBasic
기본 옷 (드라고니안 프리무스),2,전기 재봉 작업대,435,"전기 재봉 작업대(435), 재봉 작업대(476)",T:DR_BasicWear_DP2Unofficial
기본 통제 서브링크,1,기계 작업대,557,기계 작업대(557),T:ControlSublink
기적 결정,2,밀리라 범용 작업대,1304,"밀리라 범용 작업대(1304), 입자 구축기(6000)",T:MEXY_MiracleCrystal
깃털 원단,3,전기 재봉 작업대,12,"전기 재봉 작업대(12), 재봉 작업대(13), 밀리라 재단 작업대(14)",T:Milira_FeatherThread
꼬리모자,2,전기 재봉 작업대,243,"전기 재봉 작업대(243), 재봉 작업대(267)",T:Apparel_Tailcap
꽃 리본 (드라고니안 프리무스),2,전기 재봉 작업대,487,"전기 재봉 작업대(487), 재봉 작업대(533)",T:DR_FlowerRibon_DP2Unofficial
꽃 장식 (드라고니안 프리무스),2,전기 재봉 작업대,313,"전기 재봉 작업대(313), 재봉 작업대(343)",T:DR_Hat_DP2Unofficial
끓이지 않은 간단한 수프,3,전기 스토브,511,"전기 스토브(511), 스토브(511), 태양 조리대(889)",T:VCE_UncookedSoupSimple
끓이지 않은 미식적인 수프,3,전기 스토브,2553,"전기 스토브(2553), 스토브(2553), 태양 조리대(4444)",T:VCE_UncookedSoupGourmet
끓이지 않은 좋은 수프,3,전기 스토브,766,"전기 스토브(766), 스토브(766), 태양 조리대(1333)",T:VCE_UncookedSoupFine
끓이지 않은 초월계 수프,1,초월공학 스토브,833,초월공학 스토브(833),T:MAG_UncookedArchotechSoup
끓이지 않은 호화로운 수프,3,전기 스토브,1362,"전기 스토브(1362), 스토브(1362), 태양 조리대(2370)",T:VCE_UncookedSoupLavish
나노머신,1,기본 초월공학 제작대,22,기본 초월공학 제작대(22),T:Nanomachinery
나노직물,1,나노 제작기,100,나노 제작기(100),T:Eccentric_Nanoweave
나이트 I,1,밀리언 배양기,1800,밀리언 배양기(1800),T:Milian_Mechanoid_KnightI
나이트 II,1,밀리언 배양기,1800,밀리언 배양기(1800),T:Milian_Mechanoid_KnightII
나이트 검,1,밀리라 범용 작업대,2609,밀리라 범용 작업대(2609),T:Milian_KnightSword
나이트 랜스,1,밀리라 범용 작업대,2609,밀리라 범용 작업대(2609),T:Milian_KnightLance
나이트 망치,1,밀리라 범용 작업대,2609,밀리라 범용 작업대(2609),T:Milian_KnightHammer
나이트 밀리언 모델 소생,1,밀리언 배양기,1800,밀리언 배양기(1800),R:Milira_ResurrectMilian_Knight
나이트 할버드,1,밀리라 범용 작업대,2609,밀리라 범용 작업대(2609),T:Milian_KnightHalberd
낫의 초능력자,1,메카노이드 배양기,1800,메카노이드 배양기(1800),T:TW_Mech_Psycasts_Militor_Ally
노예 구속구,2,전기 재봉 작업대,1217,"전기 재봉 작업대(1217), 재봉 작업대(1333)",T:Apparel_BodyStrap
노예 사슬,2,전기 재봉 작업대,313,"전기 재봉 작업대(313), 재봉 작업대(343)",T:Apparel_Collar
농업용 기계손,1,기계 작업대,2609,기계 작업대(2609),T:FieldHand
높은 모자,2,전기 재봉 작업대,1043,"전기 재봉 작업대(1043), 재봉 작업대(1143)",T:Apparel_HatTop
누더기,2,전기 재봉 작업대,3,"전기 재봉 작업대(3), 재봉 작업대(3)",T:Leather_Patch
뉴트로늄,1,밀리라 중력 직조기,24,밀리라 중력 직조기(24),T:Milira_Neutronium
뉴트로늄 직물,1,밀리라 중력 직조기,12,밀리라 중력 직조기(12),T:Milira_NeutroniumFabric
뉴트로아민,1,약물 연구대,25,약물 연구대(25),T:Neutroamine
단검,3,전기 단조 작업대,313,"전기 단조 작업대(313), 단조 작업대(313), 간이 제작 장소(1636)",T:MeleeWeapon_Knife
단궁,3,전기 단조 작업대,417,"전기 단조 작업대(417), 단조 작업대(417), 간이 제작 장소(2182)",T:Bow_Short
단창,2,전기 단조 작업대,870,"전기 단조 작업대(870), 단조 작업대(870)",T:MeleeWeapon_Ikwa
달걀 통조림,1,통조림 기계,3,통조림 기계(3),T:VCE_CannedAP
대거 레이븐,1,대형 메카노이드 배양기,1800,대형 메카노이드 배양기(1800),T:Mech_DARaven
대리석 석재,1,석재 절삭대,22,석재 절삭대(22),T:BlocksMarble
대물 저격총 VBW-1,1,밀리라 범용 작업대,19565,밀리라 범용 작업대(19565),T:PLAMilira_AntiMateriel_Rifle
대역폭 팩,1,기계 작업대,557,기계 작업대(557),T:Apparel_PackBandwidth
대전차 미사일,1,CMC 주조 가공대,4,CMC 주조 가공대(4),T:CMC_MissileShell
대형 마나 코어,1,제련 작업대,300,제련 작업대(300),T:Isekai_BigManaCore
대형 메카노이드 소생,1,대형 메카노이드 배양기,1800,대형 메카노이드 배양기(1800),R:ResurrectHeavyMech
대형 조각상,1,조소 작업대,8333,조소 작업대(8333),T:SculptureLarge
댄디라이언,1,메카노이드 배양기,1800,메카노이드 배양기(1800),T:Mech_LionSpawn
도금 무장 도구,1,조립 작업대,4348,조립 작업대(4348),T:RM_GoldPlatedArmsKit
도끼,2,전기 단조 작업대,1217,"전기 단조 작업대(1217), 단조 작업대(1217)",T:MeleeWeapon_Axe
도약 갑옷,1,조립 작업대,7826,조립 작업대(7826),T:Apparel_ArmorLocust
