이름,defName,출처 모드,하부구조(중력선 바닥),제공 지형 조건,건설 비용,작업량,아름다움,청결,위에 덮기 가능,연구
금 모듈러 타일,KS_MetalModularGold,Flooring Floors,,"Light,Medium,Heavy,Walkable",Gold 100,1100,12,0.6,예,smithing
금 스파티움 타일,KS_MetalSpatiumGold,Flooring Floors,,"Light,Medium,Heavy,Walkable",Gold 100,1100,12,0.6,예,smithing
금 아르크스 타일,KS_MetalArxGold,Flooring Floors,,"Light,Medium,Heavy,Walkable",Gold 100,1100,12,0.6,예,smithing
금 아크리 타일,KS_PreciousAkriGold,Flooring Floors,,"Light,Medium,Heavy,Walkable",Gold 200,2800,10,0.2,예,smithing
금 엑소 타일,KS_MetalExoGold,Flooring Floors,,"Light,Medium,Heavy,Walkable",Gold 100,1100,12,0.6,예,smithing
금 육각 격자,KS_MetalHexaGrateGold,Flooring Floors,,"Light,Medium,Heavy,Walkable",Gold 70,800,11,0.2,예,smithing
금 트리곤 타일,KS_MetalTrigonGold,Flooring Floors,,"Light,Medium,Heavy,Walkable",Gold 100,1100,12,0.6,예,smithing
금 판,KS_MetalIndustrialGold,Flooring Floors,,"Light,Medium,Heavy,Walkable",Gold 70,800,11,0.2,예,smithing
금 패드판,KS_MetalPadGold,Flooring Floors,,"Light,Medium,Heavy,Walkable",Gold 70,800,11,0.2,예,smithing
금 프레임 타일,KS_MetalFramedGold,Flooring Floors,,"Light,Medium,Heavy,Walkable",Gold 100,1100,12,0.6,예,smithing
금 프레임 패드판,KS_MetalFramedPadGold,Flooring Floors,,"Light,Medium,Heavy,Walkable",Gold 70,800,11,0.2,예,smithing
금 환기판,KS_MetalVentGold,Flooring Floors,,"Light,Medium,Heavy,Walkable",Gold 70,800,11,0.2,예,smithing
대리석 가로 직조 타일,KS_HStoneBraidedMarble,Flooring Floors,,"Light,Medium,Heavy,Walkable",BlocksMarble 10,1500,2,,예,stonecutting
대리석 거친 격자 타일,KS_StoneGridRoughMarble,Flooring Floors,,"Light,Medium,Heavy,Walkable",BlocksMarble 2,500,0,,예,stonecutting
대리석 거친 판석,KS_StoneSlabsRoughMarble,Flooring Floors,,"Light,Medium,Heavy,Walkable",BlocksMarble 2,500,0,,예,stonecutting
대리석 격자 타일,KS_StoneGridSimpleMarble,Flooring Floors,,"Light,Medium,Heavy,Walkable",BlocksMarble 4,1100,1,,예,stonecutting
대리석 격자 혼합 타일,KS_StoneSimpleMosaicMarble,Flooring Floors,,"Light,Medium,Heavy,Walkable",BlocksMarble 4,1800,2,,예,stonecutting
대리석 교차 격자 거친 타일,KS_StoneCrosshatchRoughMarble,Flooring Floors,,"Light,Medium,Heavy,Walkable",BlocksMarble 2,500,0,,예,stonecutting
대리석 교차 격자 거친 혼합 타일,KS_StoneCrosshatchRoughMixedMarble,Flooring Floors,,"Light,Medium,Heavy,Walkable",BlocksMarble 2,500,0,,예,stonecutting
대리석 교차 격자 타일,KS_StoneCrosshatchMarble,Flooring Floors,,"Light,Medium,Heavy,Walkable",BlocksMarble 4,1100,1,,예,stonecutting
대리석 교차 격자 혼합 타일,KS_StoneCrosshatchMixedMarble,Flooring Floors,,"Light,Medium,Heavy,Walkable",BlocksMarble 4,1100,1,,예,stonecutting
대리석 리본 포장,KS_StoneRibbonMarble,Flooring Floors,,"Light,Medium,Heavy,Walkable",BlocksMarble 4,1100,1,,예,stonecutting
대리석 모서리 직조 타일,KS_CStoneBraidedMarble,Flooring Floors,,"Light,Medium,Heavy,Walkable",BlocksMarble 10,1500,2,,예,stonecutting
대리석 무작위 거친 타일,KS_StoneRandomRoughMarble,Flooring Floors,,"Light,Medium,Heavy,Walkable",BlocksMarble 2,500,0,,예,stonecutting
대리석 무작위 거친 혼합 타일,KS_StoneRandomRoughMixedMarble,Flooring Floors,,"Light,Medium,Heavy,Walkable",BlocksMarble 2,500,0,,예,stonecutting
대리석 무작위 길이 거친 타일,KS_StoneRandomLengthsRoughMarble,Flooring Floors,,"Light,Medium,Heavy,Walkable",BlocksMarble 2,500,0,,예,stonecutting
대리석 무작위 길이 거친 혼합 타일,KS_StoneRandomLengthsRoughMixedMarble,Flooring Floors,,"Light,Medium,Heavy,Walkable",BlocksMarble 2,500,0,,예,stonecutting
대리석 무작위 길이 타일,KS_StoneRandomLengthsMarble,Flooring Floors,,"Light,Medium,Heavy,Walkable",BlocksMarble 4,1100,1,,예,stonecutting
대리석 무작위 길이 혼합 타일,KS_StoneRandomLengthsMixedMarble,Flooring Floors,,"Light,Medium,Heavy,Walkable",BlocksMarble 4,1100,1,,예,stonecutting
대리석 무작위 타일,KS_StoneRandomMarble,Flooring Floors,,"Light,Medium,Heavy,Walkable",BlocksMarble 4,1100,1,,예,stonecutting
대리석 무작위 혼합 타일,KS_StoneRandomMixedMarble,Flooring Floors,,"Light,Medium,Heavy,Walkable",BlocksMarble 4,1100,1,,예,stonecutting
대리석 물고기 비늘 포장,KS_StoneFishScaleMarble,Flooring Floors,,"Light,Medium,Heavy,Walkable",BlocksMarble 4,1100,1,,예,stonecutting
대리석 바람개비 타일,KS_StonePinwheelMarble,Flooring Floors,,"Light,Medium,Heavy,Walkable",BlocksMarble 4,1100,1,,예,stonecutting
대리석 바스켓 위브 타일,KS_StoneBasketWeaveMarble,Flooring Floors,,"Light,Medium,Heavy,Walkable",BlocksMarble 4,1100,1,,예,stonecutting
대리석 세로 직조 타일,KS_VStoneBraidedMarble,Flooring Floors,,"Light,Medium,Heavy,Walkable",BlocksMarble 10,1500,2,,예,stonecutting
대리석 소형 격자 혼합 타일,KS_StoneTinySimpleMosaicMarble,Flooring Floors,,"Light,Medium,Heavy,Walkable",BlocksMarble 4,1800,1,,예,stonecutting
대리석 안쪽 모서리 직조 타일,KS_IStoneBraidedMarble,Flooring Floors,,"Light,Medium,Heavy,Walkable",BlocksMarble 10,1500,2,,예,stonecutting
대리석 엇갈린 거친 타일,KS_StoneStaggeredRoughMarble,Flooring Floors,,"Light,Medium,Heavy,Walkable",BlocksMarble 2,500,0,,예,stonecutting
대리석 엇갈린 거친 혼합 타일,KS_StoneStaggeredRoughMixedMarble,Flooring Floors,,"Light,Medium,Heavy,Walkable",BlocksMarble 2,500,0,,예,stonecutting
대리석 엇갈린 타일,KS_StoneStaggeredMarble,Flooring Floors,,"Light,Medium,Heavy,Walkable",BlocksMarble 4,1100,1,,예,stonecutting
대리석 엇갈린 혼합 타일,KS_StoneStaggeredMixedMarble,Flooring Floors,,"Light,Medium,Heavy,Walkable",BlocksMarble 4,1100,1,,예,stonecutting
대리석 원형 포장,KS_StoneCircularRoughMarble,Flooring Floors,,"Light,Medium,Heavy,Walkable",BlocksMarble 4,1100,1,,예,stonecutting
대리석 육각 거친 타일,KS_StoneHexagonRoughMarble,Flooring Floors,,"Light,Medium,Heavy,Walkable",BlocksMarble 2,500,0,,예,stonecutting
대리석 육각 거친 혼합 타일,KS_StoneHexagonRoughMixedMarble,Flooring Floors,,"Light,Medium,Heavy,Walkable",BlocksMarble 2,500,0,,예,stonecutting
대리석 육각 타일,KS_StoneHexagonMarble,Flooring Floors,,"Light,Medium,Heavy,Walkable",BlocksMarble 4,1100,1,,예,stonecutting
대리석 육각 혼합 타일,KS_StoneHexagonMixedMarble,Flooring Floors,,"Light,Medium,Heavy,Walkable",BlocksMarble 4,1100,1,,예,stonecutting
대리석 이중 마름모 타일,KS_StoneDoubleDiamondMarble,Flooring Floors,,"Light,Medium,Heavy,Walkable",BlocksMarble 20,2100,3,,예,stonecutting
대리석 자갈 포장,KS_StoneGravelMarble,Flooring Floors,,"Light,Medium,Heavy,Walkable",BlocksMarble 2,400,0,,예,stonecutting
대리석 직조 팔각 타일,KS_StoneBraidedOctagonMarble,Flooring Floors,,"Light,Medium,Heavy,Walkable",BlocksMarble 15,1500,2,,예,stonecutting
대리석 질감 판석,KS_StoneSlabsTexturedMarble,Flooring Floors,,"Light,Medium,Heavy,Walkable",BlocksMarble 20,2100,3,,예,stonecutting
대리석 창살 타일,KS_StoneWindowpaneMarble,Flooring Floors,,"Light,Medium,Heavy,Walkable",BlocksMarble 20,2100,3,,예,stonecutting
대리석 체크무늬 타일,KS_StoneChequeredMarble,Flooring Floors,,"Light,Medium,Heavy,Walkable",BlocksMarble 20,1500,3,,예,stonecutting
대리석 판석,KS_StoneSlabsMarble,Flooring Floors,,"Light,Medium,Heavy,Walkable",BlocksMarble 4,1100,1,,예,stonecutting
대리석 팔각 사각 타일,KS_StoneOctasquareMarble,Flooring Floors,,"Light,Medium,Heavy,Walkable",BlocksMarble 4,1100,1,,예,stonecutting
대리석 헤링본 타일,KS_StoneHerringboneMarble,Flooring Floors,,"Light,Medium,Heavy,Walkable",BlocksMarble 4,1100,1,,예,stonecutting
마름모 파르케,KS_WoodDiamond,Flooring Floors,,"Light,Medium,Heavy,Walkable",WoodLog 15,1800,3,,예,
맞물린 마름모 파르케,KS_WoodInterlockedDiamond,Flooring Floors,,"Light,Medium,Heavy,Walkable",WoodLog 12,1100,2,,예,
몬티첼로 파르케,KS_WoodMonticello,Flooring Floors,,"Light,Medium,Heavy,Walkable",WoodLog 12,1100,2,,예,
바스켓 위브 파르케,KS_WoodBasketWeave,Flooring Floors,,"Light,Medium,Heavy,Walkable",WoodLog 12,1100,2,,예,
베르사유 파르케,KS_WoodVersailles,Flooring Floors,,"Light,Medium,Heavy,Walkable",WoodLog 12,1100,2,,예,
비취 가로 직조 타일,KS_HStoneBraidedJade,Flooring Floors,,"Light,Medium,Heavy,Walkable",Jade 20,1500,6,,예,stonecutting
비취 거친 격자 타일,KS_StoneGridRoughJade,Flooring Floors,,"Light,Medium,Heavy,Walkable",Jade 6,500,3,,예,stonecutting
비취 거친 판석,KS_StoneSlabsRoughJade,Flooring Floors,,"Light,Medium,Heavy,Walkable",Jade 6,500,3,,예,stonecutting
비취 격자 타일,KS_StoneGridSimpleJade,Flooring Floors,,"Light,Medium,Heavy,Walkable",Jade 10,1100,6,,예,stonecutting
비취 격자 혼합 타일,KS_StoneSimpleMosaicJade,Flooring Floors,,"Light,Medium,Heavy,Walkable",Jade 10,1800,6,,예,stonecutting
비취 교차 격자 거친 타일,KS_StoneCrosshatchRoughJade,Flooring Floors,,"Light,Medium,Heavy,Walkable",Jade 6,500,3,,예,stonecutting
비취 교차 격자 거친 혼합 타일,KS_StoneCrosshatchRoughMixedJade,Flooring Floors,,"Light,Medium,Heavy,Walkable",Jade 6,500,3,,예,stonecutting
비취 교차 격자 타일,KS_StoneCrosshatchJade,Flooring Floors,,"Light,Medium,Heavy,Walkable",Jade 10,1100,6,,예,stonecutting
비취 교차 격자 혼합 타일,KS_StoneCrosshatchMixedJade,Flooring Floors,,"Light,Medium,Heavy,Walkable",Jade 10,1100,6,,예,stonecutting
비취 리본 포장,KS_StoneRibbonJade,Flooring Floors,,"Light,Medium,Heavy,Walkable",Jade 10,1100,6,,예,stonecutting
비취 모서리 직조 타일,KS_CStoneBraidedJade,Flooring Floors,,"Light,Medium,Heavy,Walkable",Jade 20,1500,6,,예,stonecutting
비취 무작위 거친 타일,KS_StoneRandomRoughJade,Flooring Floors,,"Light,Medium,Heavy,Walkable",Jade 6,500,3,,예,stonecutting
비취 무작위 거친 혼합 타일,KS_StoneRandomRoughMixedJade,Flooring Floors,,"Light,Medium,Heavy,Walkable",Jade 6,500,3,,예,stonecutting
비취 무작위 길이 거친 타일,KS_StoneRandomLengthsRoughJade,Flooring Floors,,"Light,Medium,Heavy,Walkable",Jade 6,500,3,,예,stonecutting
비취 무작위 길이 거친 혼합 타일,KS_StoneRandomLengthsRoughMixedJade,Flooring Floors,,"Light,Medium,Heavy,Walkable",Jade 6,500,3,,예,stonecutting
비취 무작위 길이 타일,KS_StoneRandomLengthsJade,Flooring Floors,,"Light,Medium,Heavy,Walkable",Jade 10,1100,6,,예,stonecutting
비취 무작위 길이 혼합 타일,KS_StoneRandomLengthsMixedJade,Flooring Floors,,"Light,Medium,Heavy,Walkable",Jade 10,1100,6,,예,stonecutting
비취 무작위 타일,KS_StoneRandomJade,Flooring Floors,,"Light,Medium,Heavy,Walkable",Jade 10,1100,6,,예,stonecutting
비취 무작위 혼합 타일,KS_StoneRandomMixedJade,Flooring Floors,,"Light,Medium,Heavy,Walkable",Jade 10,1100,6,,예,stonecutting
비취 물고기 비늘 포장,KS_StoneFishScaleJade,Flooring Floors,,"Light,Medium,Heavy,Walkable",Jade 10,1100,6,,예,stonecutting
비취 바람개비 타일,KS_StonePinwheelJade,Flooring Floors,,"Light,Medium,Heavy,Walkable",Jade 10,1100,6,,예,stonecutting
비취 바스켓 위브 타일,KS_StoneBasketWeaveJade,Flooring Floors,,"Light,Medium,Heavy,Walkable",Jade 10,1100,6,,예,stonecutting
비취 세로 직조 타일,KS_VStoneBraidedJade,Flooring Floors,,"Light,Medium,Heavy,Walkable",Jade 20,1500,6,,예,stonecutting
비취 소형 격자 혼합 타일,KS_StoneTinySimpleMosaicJade,Flooring Floors,,"Light,Medium,Heavy,Walkable",Jade 10,1800,6,,예,stonecutting
비취 아크리 타일,KS_PreciousAkriJade,Flooring Floors,,"Light,Medium,Heavy,Walkable",Jade 100,2800,10,0.2,예,stonecutting
비취 안쪽 모서리 직조 타일,KS_IStoneBraidedJade,Flooring Floors,,"Light,Medium,Heavy,Walkable",Jade 20,1500,6,,예,stonecutting
비취 엇갈린 거친 타일,KS_StoneStaggeredRoughJade,Flooring Floors,,"Light,Medium,Heavy,Walkable",Jade 6,500,3,,예,stonecutting
비취 엇갈린 거친 혼합 타일,KS_StoneStaggeredRoughMixedJade,Flooring Floors,,"Light,Medium,Heavy,Walkable",Jade 6,500,3,,예,stonecutting
비취 엇갈린 타일,KS_StoneStaggeredJade,Flooring Floors,,"Light,Medium,Heavy,Walkable",Jade 10,1100,6,,예,stonecutting
비취 엇갈린 혼합 타일,KS_StoneStaggeredMixedJade,Flooring Floors,,"Light,Medium,Heavy,Walkable",Jade 10,1100,6,,예,stonecutting
비취 원형 포장,KS_StoneCircularRoughJade,Flooring Floors,,"Light,Medium,Heavy,Walkable",Jade 10,1100,6,,예,stonecutting
비취 육각 거친 타일,KS_StoneHexagonRoughJade,Flooring Floors,,"Light,Medium,Heavy,Walkable",Jade 6,500,3,,예,stonecutting
비취 육각 거친 혼합 타일,KS_StoneHexagonRoughMixedJade,Flooring Floors,,"Light,Medium,Heavy,Walkable",Jade 6,500,3,,예,stonecutting
비취 육각 타일,KS_StoneHexagonJade,Flooring Floors,,"Light,Medium,Heavy,Walkable",Jade 10,1100,6,,예,stonecutting
비취 육각 혼합 타일,KS_StoneHexagonMixedJade,Flooring Floors,,"Light,Medium,Heavy,Walkable",Jade 10,1100,6,,예,stonecutting
비취 이중 마름모 타일,KS_StoneDoubleDiamondJade,Flooring Floors,,"Light,Medium,Heavy,Walkable",Jade 30,2100,8,,예,stonecutting
비취 자갈 포장,KS_StoneGravelJade,Flooring Floors,,"Light,Medium,Heavy,Walkable",Jade 6,400,3,,예,stonecutting
비취 직조 팔각 타일,KS_StoneBraidedOctagonJade,Flooring Floors,,"Light,Medium,Heavy,Walkable",Jade 25,1500,6,,예,stonecutting
비취 질감 판석,KS_StoneSlabsTexturedJade,Flooring Floors,,"Light,Medium,Heavy,Walkable",Jade 30,2100,6,,예,stonecutting
비취 창살 타일,KS_StoneWindowpaneJade,Flooring Floors,,"Light,Medium,Heavy,Walkable",Jade 30,2100,6,,예,stonecutting
비취 체크무늬 타일,KS_StoneChequeredJade,Flooring Floors,,"Light,Medium,Heavy,Walkable",Jade 30,1500,8,,예,stonecutting
비취 판석,KS_StoneSlabsJade,Flooring Floors,,"Light,Medium,Heavy,Walkable",Jade 10,1100,6,,예,stonecutting
비취 팔각 사각 타일,KS_StoneOctasquareJade,Flooring Floors,,"Light,Medium,Heavy,Walkable",Jade 10,1100,6,,예,stonecutting
비취 헤링본 타일,KS_StoneHerringboneJade,Flooring Floors,,"Light,Medium,Heavy,Walkable",Jade 10,1100,6,,예,stonecutting
사암 가로 직조 타일,KS_HStoneBraidedSandstone,Flooring Floors,,"Light,Medium,Heavy,Walkable",BlocksSandstone 10,1500,2,,예,stonecutting
사암 거친 격자 타일,KS_StoneGridRoughSandstone,Flooring Floors,,"Light,Medium,Heavy,Walkable",BlocksSandstone 2,500,0,,예,stonecutting
사암 거친 판석,KS_StoneSlabsRoughSandstone,Flooring Floors,,"Light,Medium,Heavy,Walkable",BlocksSandstone 2,500,0,,예,stonecutting
사암 격자 타일,KS_StoneGridSimpleSandstone,Flooring Floors,,"Light,Medium,Heavy,Walkable",BlocksSandstone 4,1100,1,,예,stonecutting
사암 격자 혼합 타일,KS_StoneSimpleMosaicSandstone,Flooring Floors,,"Light,Medium,Heavy,Walkable",BlocksSandstone 4,1800,2,,예,stonecutting
사암 교차 격자 거친 타일,KS_StoneCrosshatchRoughSandstone,Flooring Floors,,"Light,Medium,Heavy,Walkable",BlocksSandstone 2,500,0,,예,stonecutting
사암 교차 격자 거친 혼합 타일,KS_StoneCrosshatchRoughMixedSandstone,Flooring Floors,,"Light,Medium,Heavy,Walkable",BlocksSandstone 2,500,0,,예,stonecutting
사암 교차 격자 타일,KS_StoneCrosshatchSandstone,Flooring Floors,,"Light,Medium,Heavy,Walkable",BlocksSandstone 4,1100,1,,예,stonecutting
사암 교차 격자 혼합 타일,KS_StoneCrosshatchMixedSandstone,Flooring Floors,,"Light,Medium,Heavy,Walkable",BlocksSandstone 4,1100,1,,예,stonecutting
사암 리본 포장,KS_StoneRibbonSandstone,Flooring Floors,,"Light,Medium,Heavy,Walkable",BlocksSandstone 4,1100,1,,예,stonecutting
사암 모서리 직조 타일,KS_CStoneBraidedSandstone,Flooring Floors,,"Light,Medium,Heavy,Walkable",BlocksSandstone 10,1500,2,,예,stonecutting
사암 무작위 거친 타일,KS_StoneRandomRoughSandstone,Flooring Floors,,"Light,Medium,Heavy,Walkable",BlocksSandstone 2,500,0,,예,stonecutting
사암 무작위 거친 혼합 타일,KS_StoneRandomRoughMixedSandstone,Flooring Floors,,"Light,Medium,Heavy,Walkable",BlocksSandstone 2,500,0,,예,stonecutting
사암 무작위 길이 거친 타일,KS_StoneRandomLengthsRoughSandstone,Flooring Floors,,"Light,Medium,Heavy,Walkable",BlocksSandstone 2,500,0,,예,stonecutting
사암 무작위 길이 거친 혼합 타일,KS_StoneRandomLengthsRoughMixedSandstone,Flooring Floors,,"Light,Medium,Heavy,Walkable",BlocksSandstone 2,500,0,,예,stonecutting
사암 무작위 길이 타일,KS_StoneRandomLengthsSandstone,Flooring Floors,,"Light,Medium,Heavy,Walkable",BlocksSandstone 4,1100,1,,예,stonecutting
사암 무작위 길이 혼합 타일,KS_StoneRandomLengthsMixedSandstone,Flooring Floors,,"Light,Medium,Heavy,Walkable",BlocksSandstone 4,1100,1,,예,stonecutting
사암 무작위 타일,KS_StoneRandomSandstone,Flooring Floors,,"Light,Medium,Heavy,Walkable",BlocksSandstone 4,1100,1,,예,stonecutting
사암 무작위 혼합 타일,KS_StoneRandomMixedSandstone,Flooring Floors,,"Light,Medium,Heavy,Walkable",BlocksSandstone 4,1100,1,,예,stonecutting
사암 물고기 비늘 포장,KS_StoneFishScaleSandstone,Flooring Floors,,"Light,Medium,Heavy,Walkable",BlocksSandstone 4,1100,1,,예,stonecutting
사암 바람개비 타일,KS_StonePinwheelSandstone,Flooring Floors,,"Light,Medium,Heavy,Walkable",BlocksSandstone 4,1100,1,,예,stonecutting
사암 바스켓 위브 타일,KS_StoneBasketWeaveSandstone,Flooring Floors,,"Light,Medium,Heavy,Walkable",BlocksSandstone 4,1100,1,,예,stonecutting
사암 세로 직조 타일,KS_VStoneBraidedSandstone,Flooring Floors,,"Light,Medium,Heavy,Walkable",BlocksSandstone 10,1500,2,,예,stonecutting
사암 소형 격자 혼합 타일,KS_StoneTinySimpleMosaicSandstone,Flooring Floors,,"Light,Medium,Heavy,Walkable",BlocksSandstone 4,1800,1,,예,stonecutting
사암 안쪽 모서리 직조 타일,KS_IStoneBraidedSandstone,Flooring Floors,,"Light,Medium,Heavy,Walkable",BlocksSandstone 10,1500,2,,예,stonecutting
사암 엇갈린 거친 타일,KS_StoneStaggeredRoughSandstone,Flooring Floors,,"Light,Medium,Heavy,Walkable",BlocksSandstone 2,500,0,,예,stonecutting
