아이템,모드,제작,제작 작업대,구할 수 없는 재료,기타 획득 경로,추정 경로(다른 정의가 언급),공허 추출기 허용,분류,defName
초월공학 심장,Archotech Expanded,제작 가능,기본 초월공학 제작대,,"궤도 상인 구매, 상인 구매",,,BodyPartsProsthetic,ArchotechHeart
초월공학 위,Archotech Expanded,제작 가능,기본 초월공학 제작대,,"궤도 상인 구매, 상인 구매",,,BodyPartsProsthetic,ArchotechStomach
초월공학 장벽,Archotech Expanded,제작 가능,기본 초월공학 제작대,,"궤도 상인 구매, 상인 구매",,,BodyPartsArchotech,ArchotechMembrane
초월공학 재생기,Archotech Expanded,제작 가능,기본 초월공학 제작대,,"궤도 상인 구매, 상인 구매",,,BodyPartsArchotech,ArchotechRegenerationMatrix
초월공학 제압기,Archotech Expanded,제작 가능,기본 초월공학 제작대,,"궤도 상인 구매, 상인 구매",,,BodyPartsArchotech,ArchotechObliterator
초월공학 척추,Archotech Expanded,제작 가능,기본 초월공학 제작대,,"궤도 상인 구매, 상인 구매",,,BodyPartsProsthetic,ArchotechSpine
초월공학 턱,Archotech Expanded,제작 가능,기본 초월공학 제작대,,"궤도 상인 구매, 상인 구매",,,BodyPartsProsthetic,ArchotechDenture
초월공학 폐,Archotech Expanded,제작 가능,기본 초월공학 제작대,,"궤도 상인 구매, 상인 구매",,,BodyPartsProsthetic,ArchotechLung
피코머신,Archotech Expanded,제작 가능,기본 초월공학 제작대,,"궤도 상인 구매, 상인 구매",,,"ResourcesRaw, Textiles",Picomachinery
쇼핑 리스트,Auto Seller,제작 가능,"무역 보고 장치, 무역 보고 증서",,,,,Manufactured,ASShoppingList
130mm 고폭탄,CeleTech Arsenal MKIII,제작 가능,CMC 주조 가공대,,궤도 상인 구매,,,Manufactured,CMC_300mmEMLShell
"<color=#5BC4E2><i>QBB-302T ""Zheng"" 특수 기관총</i></color>",CeleTech Arsenal MKIII,제작 가능,CMC 나노 CNC 작업대,,"궤도 상인 구매, 적 장비 노획",,,TOT_Weapons_Cat,W85X_Thunderer
"<color=#5BC4E2><i>QBUS-85F ""Lihuo"" 스마트 전술 지정사수소총</i></color>",CeleTech Arsenal MKIII,제작 가능,CMC 나노 CNC 작업대,,"궤도 상인 구매, 적 장비 노획",,,TOT_Weapons_Cat,QBUS85F
"<color=#5BC4E2>MR-303X ""Jiuwei"" 특수 저격소총</color>",CeleTech Arsenal MKIII,,,,"궤도 상인 구매, 적 장비 노획",,,TOT_Weapons_Cat,QBU71_QS
"<color=#CEEAED>AR-105R ""Jiuying"" 돌격소총</color>",CeleTech Arsenal MKIII,제작 가능,CMC 나노 CNC 작업대,,"궤도 상인 구매, 적 장비 노획",,,TOT_Weapons_Cat,QBZ_threeooED
"<color=#CEEAED>AR-231F ""Qilin"" 돌격소총</color>",CeleTech Arsenal MKIII,제작 가능,CMC 나노 CNC 작업대,,"궤도 상인 구매, 적 장비 노획",,,TOT_Weapons_Cat,QBZ_fivenineFlame
"<color=#CEEAED>QFT-1 ""Xihe"" 펄스 화염방사기</color>",CeleTech Arsenal MKIII,제작 가능,CMC 나노 CNC 작업대,,"궤도 상인 구매, 상인 구매, 적 장비 노획",,,TOT_Weapons_Cat,PrototypeXiHe
"<color=#CEEAED>SG-131F ""Bifang"" 산탄총</color>",CeleTech Arsenal MKIII,제작 가능,CMC 나노 CNC 작업대,,"궤도 상인 구매, 적 장비 노획",,,TOT_Weapons_Cat,CMC_QBAfournineFlame
"<color=#FFAA00><i>QBL-X ""Taotie"" 입자 랜스 Δ</i></color>",CeleTech Arsenal MKIII,제작 가능,CMC 나노 CNC 작업대,,"궤도 상인 구매, 적 장비 노획",,,TOT_Weapons_Cat,CMC_TaoTie_Persona
"<color=#FFAA00><i>QBP-X ""Qiyao"" 펄스 소총 δ</i></color>",CeleTech Arsenal MKIII,제작 가능,CMC 나노 CNC 작업대,,"궤도 상인 구매, 적 장비 노획",,,TOT_Weapons_Cat,CMC_QiyaoLaserLMG
"<color=#FFAA00><i>QBU-X ""Xuanming"" 지정사수소총 Δ</i></color>",CeleTech Arsenal MKIII,제작 가능,CMC 나노 CNC 작업대,,"궤도 상인 구매, 적 장비 노획",,,TOT_Weapons_Cat,QBZoneooneXuanMing_Elite
"<color=#FFAA00><i>QLU-X ""Zhurong"" 펄스 이온포 Δ</i></color>",CeleTech Arsenal MKIII,,,,,"아이템 사용·개봉: <color=#FFAA00><i>QLU-X ""Zhurong"" 펄스 이온포 Δ</i></color>",,ApparelArmor,QLUX_Pulse_Projector_Persona_Apparel
"<color=#FFAA00><i>QLU-X ""Zhurong"" 펄스 이온포 Δ</i></color>",CeleTech Arsenal MKIII,제작 가능,CMC 나노 CNC 작업대,,"궤도 상인 구매, 상인 구매","아이템 사용·개봉: <color=#FFAA00><i>QLU-X ""Zhurong"" 펄스 이온포 Δ</i></color>",,TOT_Weapons_Cat,QLUX_Pulse_Projector_Persona
<color=#FFAA00><i>반엔트로피검</i></color>,CeleTech Arsenal MKIII,제작 가능,조립 작업대,,"궤도 상인 구매, 상인 구매, 적 장비 노획",,,"TOT_Weapons_Cat, WeaponsMelee",CMC_EMPsword_sevenstars
B-HJ301 대전차 미사일 탄약 배낭,CeleTech Arsenal MKIII,,,,궤도 상인 구매,,,ApparelUtility,CMC_ATGMAmmoPack
B-PF201 무반동포 탄약 배낭,CeleTech Arsenal MKIII,,,,궤도 상인 구매,,,ApparelUtility,CMC_RCAmmoPack
BB-01Z 펄스 제트팩,CeleTech Arsenal MKIII,제작 가능,CMC 주조 가공대,,"궤도 상인 구매, 상인 구매, 적 장비 노획",,,ApparelUtility,CMC_rocketpack
BD-01X 범용 동력 헬멧,CeleTech Arsenal MKIII,제작 가능,CMC 주조 가공대,,적 장비 노획,,,ArmorHeadgear,CMChelmet
BD-01Y 기본형 동력 갑옷,CeleTech Arsenal MKIII,제작 가능,CMC 주조 가공대,,적 장비 노획,,,ApparelArmor,CMC_HPA_Base
BD-02X 중장형 동력 헬멧,CeleTech Arsenal MKIII,제작 가능,CMC 주조 가공대,,적 장비 노획,,,ArmorHeadgear,CMChelmetM
BD-02Y 중장형 동력 갑옷,CeleTech Arsenal MKIII,제작 가능,CMC 주조 가공대,,적 장비 노획,,,ApparelArmor,CMC_HPA_Heavy
BD-03C 기계 제어 AR 고글,CeleTech Arsenal MKIII,제작 가능,CMC 주조 가공대,,,,,ArmorHeadgear,CMC_ARGoggles_Cat
BD-03S 나노 전투복,CeleTech Arsenal MKIII,제작 가능,CMC 주조 가공대,,"궤도 상인 구매, 상인 구매, 적 장비 노획",,,ApparelArmor,CMC_Uniform
BD-03X AR 전술 고글,CeleTech Arsenal MKIII,제작 가능,CMC 주조 가공대,,,,,ArmorHeadgear,CMC_ARGoggles
BD-03Y 광학 위장 코트,CeleTech Arsenal MKIII,제작 가능,CMC 주조 가공대,,"궤도 상인 구매, 상인 구매, 적 장비 노획",,,ApparelArmor,CMC_Uniform_MKII
BRF-X 퍼널 배치 시스템,CeleTech Arsenal MKIII,제작 가능,CMC 주조 가공대,,,"AlienRace.ThingDef_AlienRace: Milian_Race, AlienRace.ThingDef_AlienRace: Milira_Race",,ApparelUtility,CMC_FunnelHauler
BX-01 이온 보호막 벨트,CeleTech Arsenal MKIII,제작 가능,CMC 주조 가공대,,적 장비 노획,"AlienRace.ThingDef_AlienRace: Milian_Race, AlienRace.ThingDef_AlienRace: Milira_Race",,ApparelUtility,CMC_ZGRangedShieldBelt_MKI
BX-02 보호막 벨트,CeleTech Arsenal MKIII,제작 가능,CMC 주조 가공대,,적 장비 노획,"AlienRace.ThingDef_AlienRace: Milian_Race, AlienRace.ThingDef_AlienRace: Milira_Race",,ApparelUtility,CMC_ZGRangedShieldBelt
CA-T4 피하 장갑,CeleTech Arsenal MKIII,제작 가능,CMC 주조 가공대,,"궤도 상인 구매, 상인 구매, 적 장비 노획",,,BodyPartsBionic,CMC_SubdermalArmour
CB-A1 생체공학 팔,CeleTech Arsenal MKIII,제작 가능,CMC 주조 가공대,,"궤도 상인 구매, 상인 구매, 적 장비 노획",,,BodyPartsBionic,CMC_BionicArm_Hediff
CB-L1 생체공학 다리,CeleTech Arsenal MKIII,제작 가능,CMC 주조 가공대,,"궤도 상인 구매, 상인 구매, 적 장비 노획",,,BodyPartsBionic,CMC_BionicLeg_Hediff
CEF 개인 데이터 단말기,CeleTech Arsenal MKIII,제작 가능,CMC 주조 가공대,,,"AlienRace.ThingDef_AlienRace: Milian_Race, AlienRace.ThingDef_AlienRace: Milira_Race",,ApparelUtility,CMC_personalterminal
CELEGRAV™ 위상 반중력 코어,CeleTech Arsenal MKIII,,,,"궤도 상인 구매, 상인 구매",,,ItemsMisc,CMC_Gravcore
"CN-01 ""Dubhe"" 칩",CeleTech Arsenal MKIII,제작 가능,CMC 나노 CNC 작업대,,"궤도 상인 구매, 상인 구매, 적 장비 노획",,,BodyPartsProsthetic,CMC_TianShu_Thing
"CN-02 ""Merak"" 칩",CeleTech Arsenal MKIII,제작 가능,CMC 나노 CNC 작업대,,"궤도 상인 구매, 상인 구매, 적 장비 노획",,,BodyPartsProsthetic,CMC_TianXuan_Thing
"CN-03 ""Phecda"" 칩",CeleTech Arsenal MKIII,제작 가능,CMC 나노 CNC 작업대,,"궤도 상인 구매, 상인 구매, 적 장비 노획",,,BodyPartsProsthetic,CMC_TianJi_Thing
"CN-04 ""Megrez"" 칩",CeleTech Arsenal MKIII,제작 가능,CMC 나노 CNC 작업대,,"궤도 상인 구매, 상인 구매, 적 장비 노획",,,BodyPartsProsthetic,CMC_TianQuan_Thing
"CN-05 ""Alioth"" 칩",CeleTech Arsenal MKIII,제작 가능,CMC 나노 CNC 작업대,,"궤도 상인 구매, 상인 구매, 적 장비 노획",,,BodyPartsProsthetic,CMC_YuHeng_Thing
"CN-06 ""Mizar"" 칩",CeleTech Arsenal MKIII,제작 가능,CMC 나노 CNC 작업대,,"궤도 상인 구매, 상인 구매, 적 장비 노획",,,BodyPartsProsthetic,CMC_KaiYang_Thing
"CN-07 ""Alkaid"" 칩",CeleTech Arsenal MKIII,제작 가능,CMC 나노 CNC 작업대,,"궤도 상인 구매, 상인 구매, 적 장비 노획",,,BodyPartsProsthetic,CMC_YaoGuang_Thing
DX-04 플라즈마 직도,CeleTech Arsenal MKIII,제작 가능,CMC 나노 CNC 작업대,,"궤도 상인 구매, 상인 구매, 적 장비 노획",,,"TOT_Weapons_Cat, WeaponsMelee",CMC_TangDao_Plasma
HJ301 대전차 미사일 발사기,CeleTech Arsenal MKIII,제작 가능,CMC 나노 CNC 작업대,,"궤도 상인 구매, 상인 구매, 적 장비 노획",아이템 사용·개봉: B-HJ301 대전차 미사일 탄약 배낭,,TOT_Weapons_Cat,CMC_HJX_ATGM
MP-302N 기관단총 Δ,CeleTech Arsenal MKIII,제작 가능,CMC 나노 CNC 작업대,,"궤도 상인 구매, 적 장비 노획",,,TOT_Weapons_Cat,QSZ85_M
PF201 무반동포,CeleTech Arsenal MKIII,제작 가능,CMC 나노 CNC 작업대,,"궤도 상인 구매, 상인 구매, 적 장비 노획",아이템 사용·개봉: B-PF201 무반동포 탄약 배낭,,TOT_Weapons_Cat,CMC_RocketLauncher
QBA-101 산탄총,CeleTech Arsenal MKIII,제작 가능,CMC 나노 CNC 작업대,,"궤도 상인 구매, 적 장비 노획",,,TOT_Weapons_Cat,CMC_QBXfiveseven_CSG
QBA-102S 산탄총,CeleTech Arsenal MKIII,제작 가능,CMC 나노 CNC 작업대,,"궤도 상인 구매, 적 장비 노획",,,TOT_Weapons_Cat,CMC_QBXninenine_CSG
QBA-131R 산탄총,CeleTech Arsenal MKIII,제작 가능,CMC 나노 CNC 작업대,,"궤도 상인 구매, 적 장비 노획",,,TOT_Weapons_Cat,CMC_QBAfournine
QBB-105R 경기관총,CeleTech Arsenal MKIII,제작 가능,CMC 나노 CNC 작업대,,"궤도 상인 구매, 적 장비 노획",,,TOT_Weapons_Cat,QBB_threeoo
QBB-231R 경기관총,CeleTech Arsenal MKIII,제작 가능,CMC 나노 CNC 작업대,,"궤도 상인 구매, 적 장비 노획",,,TOT_Weapons_Cat,QBB_fivenine
QBB-302S 범용 기관총,CeleTech Arsenal MKIII,제작 가능,CMC 나노 CNC 작업대,,"궤도 상인 구매, 적 장비 노획",,,TOT_Weapons_Cat,W85XWJ
QBB-331P 펄스 다목적 기관총,CeleTech Arsenal MKIII,제작 가능,CMC 나노 CNC 작업대,,"궤도 상인 구매, 적 장비 노획",,,TOT_Weapons_Cat,CMC_PLaserLMG
QBL-40 유탄 발사기,CeleTech Arsenal MKIII,제작 가능,CMC 나노 CNC 작업대,,"궤도 상인 구매, 상인 구매, 적 장비 노획",,,TOT_Weapons_Cat,CMC_GrenadeLauncher
QBU-131 저격소총,CeleTech Arsenal MKIII,제작 가능,CMC 나노 CNC 작업대,,"궤도 상인 구매, 상인 구매, 적 장비 노획",,,TOT_Weapons_Cat,QBU_TOOE
QBU-231R 지정사수소총,CeleTech Arsenal MKIII,제작 가능,CMC 나노 CNC 작업대,,"궤도 상인 구매, 적 장비 노획",,,TOT_Weapons_Cat,QBU_fivenine
QBU-252L 광선 저격소총,CeleTech Arsenal MKIII,제작 가능,CMC 나노 CNC 작업대,,궤도 상인 구매,,,TOT_Weapons_Cat,CMC_Shaped_Laser_Sniper
QBU-303S 지정사수소총,CeleTech Arsenal MKIII,제작 가능,CMC 나노 CNC 작업대,,"궤도 상인 구매, 적 장비 노획",,,TOT_Weapons_Cat,QBUS85XWJ
QBU-371R 대물 저격소총,CeleTech Arsenal MKIII,제작 가능,CMC 나노 CNC 작업대,,"궤도 상인 구매, 상인 구매, 적 장비 노획",,,TOT_Weapons_Cat,CMC_QBU71S
QBZ-105R 돌격소총,CeleTech Arsenal MKIII,제작 가능,CMC 나노 CNC 작업대,,"궤도 상인 구매, 적 장비 노획",,,TOT_Weapons_Cat,QBZ_threeooE
QBZ-231R 돌격소총,CeleTech Arsenal MKIII,제작 가능,CMC 나노 CNC 작업대,,"궤도 상인 구매, 적 장비 노획",,,TOT_Weapons_Cat,QBZ_fivenine
QBZ-251L 광선 소총,CeleTech Arsenal MKIII,제작 가능,CMC 나노 CNC 작업대,,"궤도 상인 구매, 적 장비 노획",,,TOT_Weapons_Cat,CMC_ShapedLaserRifle
QBZ-301S 돌격소총,CeleTech Arsenal MKIII,제작 가능,CMC 나노 CNC 작업대,,"궤도 상인 구매, 적 장비 노획",,,TOT_Weapons_Cat,QBZ_eightfiveAR
QF-M 퍼널 기반 모듈,CeleTech Arsenal MKIII,제작 가능,CMC 주조 가공대,,궤도 상인 구매,아이템 사용·개봉: BRF-X 퍼널 배치 시스템,,ItemsMisc,CMC_FunnelCore_Basic
QJZ-209R 중기관총,CeleTech Arsenal MKIII,제작 가능,CMC 나노 CNC 작업대,,"궤도 상인 구매, 적 장비 노획",,,TOT_Weapons_Cat,CMC_QJZFivenine
QSC-131P 펄스 권총,CeleTech Arsenal MKIII,제작 가능,CMC 나노 CNC 작업대,,"궤도 상인 구매, 상인 구매, 적 장비 노획",,,TOT_Weapons_Cat,CMM_PLaserpistol
QSZ-108R 권총,CeleTech Arsenal MKIII,제작 가능,CMC 나노 CNC 작업대,,"궤도 상인 구매, 상인 구매, 적 장비 노획",,,TOT_Weapons_Cat,CMC_QSZfiveeight
QSZ-108S 권총,CeleTech Arsenal MKIII,제작 가능,CMC 나노 CNC 작업대,,"궤도 상인 구매, 적 장비 노획",,,TOT_Weapons_Cat,CMC_QSZfiveeightSmart
QSZ-231P 펄스 기관단총,CeleTech Arsenal MKIII,제작 가능,CMC 나노 CNC 작업대,,"궤도 상인 구매, 적 장비 노획",,,TOT_Weapons_Cat,CMC_PLaserSMG
QSZ-302S 기관단총,CeleTech Arsenal MKIII,제작 가능,CMC 나노 CNC 작업대,,"궤도 상인 구매, 적 장비 노획",,,TOT_Weapons_Cat,QBZS85XWJ
QSZ-57 PDW,CeleTech Arsenal MKIII,제작 가능,CMC 나노 CNC 작업대,,"궤도 상인 구매, 적 장비 노획",,,TOT_Weapons_Cat,CMC_QSZfiveseven
QSZ-57 스마트 카빈,CeleTech Arsenal MKIII,제작 가능,CMC 나노 CNC 작업대,,"궤도 상인 구매, 적 장비 노획",,,TOT_Weapons_Cat,CMC_QSZfiveseven_NL
QSZ-57 전자기 카빈,CeleTech Arsenal MKIII,제작 가능,CMC 나노 CNC 작업대,,"궤도 상인 구매, 적 장비 노획",,,TOT_Weapons_Cat,CMC_QSZfiveseven_MODIII
QTS-214 OICW,CeleTech Arsenal MKIII,제작 가능,CMC 나노 CNC 작업대,,"궤도 상인 구매, 상인 구매, 적 장비 노획",,,TOT_Weapons_Cat,QBZ71_QS
QTS-301 OICW,CeleTech Arsenal MKIII,제작 가능,CMC 나노 CNC 작업대,,"궤도 상인 구매, 상인 구매, 적 장비 노획",,,TOT_Weapons_Cat,QTS9_OICW
고급 프리즘 모듈,CeleTech Arsenal MKIII,제작 가능,CMC 주조 가공대,,궤도 상인 구매,"아이템 사용·개봉: QBB-331P 펄스 다목적 기관총, 아이템 사용·개봉: QSC-131P 펄스 권총",,CMC_WeaponAccessories,CMC_Accessory_Prism
대전차 미사일,CeleTech Arsenal MKIII,제작 가능,CMC 주조 가공대,,"궤도 상인 구매, 상인 구매",,,Manufactured,CMC_MissileShell
돌격 사격 통제 칩,CeleTech Arsenal MKIII,제작 가능,CMC 주조 가공대,,궤도 상인 구매,"아이템 사용·개봉: <color=#CEEAED>AR-231F ""Qilin"" 돌격소총</color>, 아이템 사용·개봉: QBB-231R 경기관총, 아이템 사용·개봉: QBB-302S 범용 기관총, 아이템 사용·개봉: QBB-331P 펄스 다목적 기관총, 아이템 사용·개봉: QBU-231R 지정사수소총, 아이템 사용·개봉: QBU-371R 대물 저격소총, 아이템 사용·개봉: QBZ-231R 돌격소총, 아이템 사용·개봉: QBZ-301S 돌격소총, 아이템 사용·개봉: QJZ-209R 중기관총, 아이템 사용·개봉: QSC-131P 펄스 ",,CMC_WeaponAccessories,CMC_Accessory_AdvancedScope
로켓탄,CeleTech Arsenal MKIII,제작 가능,CMC 주조 가공대,,"궤도 상인 구매, 상인 구매",,,Manufactured,CMC_RocketShell
보조 전자기 가속 레일,CeleTech Arsenal MKIII,제작 가능,CMC 주조 가공대,,궤도 상인 구매,"아이템 사용·개봉: <color=#CEEAED>AR-231F ""Qilin"" 돌격소총</color>, 아이템 사용·개봉: QBA-101 산탄총, 아이템 사용·개봉: QBA-102S 산탄총, 아이템 사용·개봉: QBA-131R 산탄총, 아이템 사용·개봉: QBB-231R 경기관총, 아이템 사용·개봉: QBB-302S 범용 기관총, 아이템 사용·개봉: QBU-231R 지정사수소총, 아이템 사용·개봉: QBU-371R 대물 저격소총, 아이템 사용·개봉: QBZ-231R 돌격소총, 아이템 사용·개봉: QBZ-301S 돌격소총, 아이템 사용·",,CMC_WeaponAccessories,CMC_Accessory_EMBooster
암호화 설계도 K-11,CeleTech Arsenal MKIII,,,,,,,,CAG_BluePrint
지향성 EMS 방출기,CeleTech Arsenal MKIII,제작 가능,CMC 나노 CNC 작업대,,"궤도 상인 구매, 상인 구매",아이템 사용·개봉: 지향성 EMS 방출기,,TOT_Weapons_Cat,EMS_DirectedEmitter
지향성 EMS 방출기,CeleTech Arsenal MKIII,,,,,아이템 사용·개봉: 지향성 EMS 방출기,,ApparelArmor,EMS_DirectedEmitter_Apparel
