세력,모드,defName,기술 수준,영구 적대,기본 적대,숨김(세계지도에 안 보임),전투 병종 수,최고 전투력 병종,주요 전투 병종(전투력),습격 가능,궤도(우주) 습격,설명
적혈부,MoeLotl Faction Expand,Axolotl_BloodSect,Medieval,예,,예,6,110,"적혈종 제자(110), 적혈종 호법(110), 적혈종 장로(110), 적혈종 방술사(110), 적혈종 장문(110), 적혈종 혈위(110)",예,,"적혈부는 모에로틀에서 가장 극단적인 이들이 모인 종문입니다.\n\n이들은 모에로틀에게 금기시되는 힘을 추구하는 데 열중하며, 그 어떤 대가를 치르더라도 수련을 포기하지 않아 결국 주화입마에 빠지게 됩니다.\n\n이 종문의 구성원들은 광기에 가까운 태도로 생사를 불문하고 금기시되는 공법을 탐구하며, 관습과 도덕의 경계를 넘어 지극히 뒤틀린 힘을 추구하고 있습"
해적 인양단,Odyssey DLC,Salvagers,Spacer,예,,예,3,140,"인양단 해적(85), 해체자(140), 인양단 정예병(130)",예,예,버려진 함선과 귀중한 잔해를 찾아 우주를 우주를 떠도는 무자비한 궤도 약탈자 집단입니다. 인양단은 완전히 우주에서만 활동합니다.
적대적인 고대인,코어,AncientsHostile,Spacer,예,,예,1,85,고대의 군인(85),예,,
메카노이드 군락,코어,Mechanoid,Ultra,예,,예,16,600,"밀리터(45), 사이더(150), 파이크맨(110), 랜서(190), 센티피드 블래스터(400), 스코처(75), 사이클롭스(110), 테서론(150)",예,예,"출처를 알 수 없는 살인 기계들입니다. 메카노이드들은 고대 구조물, 먼지 언덕 아래, 또는 해저 깊은 곳에 숨어 수천 년 동안 자급자족할 수 있습니다. 이 특정 기계 군단의 목적은 하나인 것 같지만 행동은 좀 중구난방입니다. 지역 학자들은 메카노이드들을 고대 전쟁에서 남겨진 자율 행동 무기라고 믿고 있는 반면, 부족 전설에서는 잠자는 신의 악마같은 종복이라"
야만적인 부족,코어,TribeSavage,Neolithic,예,,,9,85,"궁수(45), 사냥꾼(60), 사수(75), 화살받이(40), 전사(50), 광전사(65), 우두머리(85), 우두머리(85)",예,,"이 행성에서 아주 오랜 시간 살아온 사람들입니다. 이들의 조상은 수천 년 전 불시착했을지도 모릅니다. 또는 이전에 존재하던 문명사회를 파괴한 재앙에서 살아남은 것일 수도 있습니다. 어떤 경우든 부족들은 대부분 유목민이며 오직 원시적인 도구와 무기만을 사용합니다.\n\n기술적인 약점이 분명하지만, 부족민들의 전투 능력, 많은 머릿수, 그리고 뛰어난 용기는 이"
우주 해적,코어,Pirate,Spacer,예,,,13,140,"용병 저격수(110), 용병 중화기병(140), 용병 사수(85), 정예 용병(130), 유랑자(35), 강도(50), 우주해적(65), 대장(130)",예,,"서로 싸우는 대신 외부인과 싸우기로 동의한 느슨한 해적 집단 연합입니다.\n\n해적들은 씨를 뿌리지도 않고, 짓지도 않으며, 거래도 거의 하지 않습니다. 이들은 개인의 힘과 무자비함을 중시하는 피와 명예의 문화에 따라, 더 생산적인 이웃을 습격하고 약탈함으로써 자신들을 풍요롭게 합니다.\n\n그들의 기술 수준은 최근에 누굴 약탈했느냐에 달려 있습니다. 대부"
사나운 네안데르탈 부족,Biotech DLC,TribeRoughNeanderthal,Neolithic,,예,,9,85,"화살받이(40), 전사(50), 광전사(65), 우두머리(85), 돌파자(55), 궁수(45), 사냥꾼(60), 사수(75)",예,,"정복적인 네안데르탈인의 부족입니다. 그들은 평화로운 무역에 개방되어 있지만, 그 외에는 적대적이며 정복적입니다. 부족의 전사들은 주저하지 않고 위험하다 여겨지는 사람의 머리를 내려칩니다. 기술과 분석 능력이 부족하지만 엄청난 물량과 파괴력은 재난과도 같습니다.\n\n수없이 많은 세대를 이 행성에서 살아왔기 때문에, 그들은 자신들이 어떻게 여기에 왔는지에 대"
거친 돼지 조합,Biotech DLC,OutlanderRoughPig,Industrial,,예,,7,140,"자경대원(60), 척탄병(70), 용병 도살자(140), 정예 돼지(130), 수장(40), 사수 돼지(85), 주민(45)",예,,"강인한 피그스킨 마을들의 느슨한 연합입니다. 이들은 뾰족코들과도 친구를 맺을 의향이 있지만, 필요하다면 폭탄을 던지고 인골을 씹어 먹을 준비도 되어있습니다. 정중히 대하면 어려운 순간에 돼지 손을 내밀어 주는 친구가 됩니다. 하지만 적으로 돌리면 당신이 마지막으로 듣는 소리는 승리한 돼지의 꾸이익거리는 괴성이 될 수도 있습니다."
시아니스 협회,CeleTech Faction,Cyanith,Spacer,,예,,6,500,"시아니스 보병(300), 시아니스 정예병(500), 시아니스 저격수(350), 시아니스 돌격병(250), 시아니스 병참병(150), 시아니스 지휘관(500)",예,,"Once planetary ground operatives of CeleTech Company, they were left stranded when the corporation's starships were driven from the system during a brutal space conflict. Scattered across the planet, "
비우호적 드라고니안,Dragonian Mix,Unfrindly_Dragonian,Spacer,,예,,9,250,"드라고니안 왕실 사냥꾼(250), 드라고니안 부족 사냥꾼(150), 드라고니안 부족 경비병(150), 드라고니안 왕실 전사(250), 드라고니안 왕실 근위병(250), 드라고니안 부족 전사(150), 드라고니안 부족 머스킷병(150), 드라고니안 마을 주민(100)",예,,"Unfrindly Dragonian is group of dragonian that not fit in clans,they been kick off the group and have to live by them own to rubber others goods."
용의 둥지,Dragonian Prime Race2.0 (Unofficial),Dragonian_Pirate_DP2Unofficial,Industrial,,예,,3,210,"드라고니안 전사(200), 드라고니안 마을 주민(160), 드라고니안 대변인(210)",예,,"Some Dragonians enjoy the pirate life, and carry their horde of precious metals and gems with them."
야만적인 외지인 연합,코어,OutlanderRough,Industrial,,예,,7,140,"자경대원(60), 용병 사수(85), 정예 용병(130), 수장(40), 용병 도살자(140), 주민(45), 척탄병(70)",예,,"외지인들은 이곳에서 수 세기 동안 살아오면서 자신들을 이 행성으로 데려온 기술 대부분을 상실했습니다. 그러나 여전히 간단한 기계를 만들거나 건물을 건설할 수 있으며, 화기를 사용하여 스스로를 방어할 수 있습니다.\n\n이들은 무역, 신뢰, 생존과 같은 일반적인 문제에 대해 관심이 많습니다.\n\n이 세력은 야만적인 면을 가지고 있습니다."
호전적인 부족,코어,TribeRough,Neolithic,,예,,9,85,"궁수(45), 사냥꾼(60), 사수(75), 화살받이(40), 전사(50), 광전사(65), 우두머리(85), 우두머리(85)",예,,"이 행성에서 아주 오랜 시간 살아온 사람들입니다. 이들의 조상은 수천 년 전 불시착했을지도 모릅니다. 또는 이전에 존재하던 문명사회를 파괴한 재앙에서 살아남은 것일 수도 있습니다. 어떤 경우든 부족들은 대부분 유목민이며 오직 원시적인 도구와 무기만을 사용합니다.\n\n기술적인 약점이 분명하지만, 부족민들의 전투 능력, 많은 머릿수, 그리고 뛰어난 용기는 이"
드라고니안,Dragonian Mix,Dragonian_NPC,Medieval,,,,9,250,"드라고니안 왕실 사냥꾼(250), 드라고니안 부족 사냥꾼(150), 드라고니안 부족 경비병(150), 드라고니안 왕실 전사(250), 드라고니안 왕실 근위병(250), 드라고니안 부족 전사(150), 드라고니안 부족 머스킷병(150), 드라고니안 마을 주민(100)",예,,Dragonian settlement
드라고니안 마을,Dragonian Prime Race2.0 (Unofficial),Dragonian_NPC_DP2Unofficial,Industrial,,,,3,210,"드라고니안 전사(200), 드라고니안 마을 주민(160), 드라고니안 대변인(210)",예,,"A Dragonian settlement, while they live simple lives they can be quite fierce."
모험가 길드,GUILD FACTION ADD-ON - Isekai RPG Leveling,GuildFaction_AdventurersGuild,Industrial,,,,7,420,"모험가(55), 모험가(75), 모험가(40), 모험가(110), 모험가(170), 모험가(260), 모험가(420)",예,,"The Adventurer's Guild — a storied international brotherhood of hunters, mages, and champions. They take contracts on beasts and world-bending threats, and rank their members from the lowly F to the m"
나체 부족,Ideology DLC,NudistTribe,Neolithic,,,,9,85,"궁수(45), 사냥꾼(60), 사수(75), 화살받이(40), 전사(50), 광전사(65), 우두머리(85), 우두머리(85)",예,,이 행성에서 아주 오랜 시간 살아온 사람들입니다. 이들의 조상은 수천 년 전 불시착했을지도 모릅니다. 또는 이전에 존재하던 문명사회를 파괴한 재앙에서 살아남은 것일 수도 있습니다. 어떤 경우든 부족들은 대부분 유목민으로 이루어졌으며 오직 원시적인 도구와 무기만을 사용합니다.\n\n이들의 기술적인 약점에도 불구하고 많은 머릿수와 무모한 용기는 이들을 위험한 
저그 무리,MUSC_Zerg Mod,MUSC_ZergFaction,Animal,,,예,7,950,"저글링(75), 히드라리스크(180), 브루들링(90), 날개 저글링(랩터)(90), 워킹 스커지(110), 감염된 해병(100), 울라리(950)",예,,"저그 무리는 모든 생명체를 동화시키고 타락시키는 공포스러운 외계 생체 집단입니다. 그들은 거대한 곤충과 살점으로 이루어진 흉물들과 섬뜩할 만큼 조직적으로 협력하며, 악몽 같은 괴물 생태계를 이룹니다."
NCL,Mechanoids: Total Warfare,NCL_faction,Archotech,,,예,1,180,이동병정개미(180),예,,아군 진영에 속하는 일반 NCL 진영을 생성해야 합니다.
밀리라 제국,Milira Faction: Milira Imperium,Milira_Imperium,Ultra,,,,16,480,"폰 I(144), 폰 II(144), 가드(216), 이터널 포트리스(480), 나이트 I(216), 비숍 II(216), 나이트 II(264), 비숍 I(216)",예,예,"초월공학 신의 인도를 받는 밀리라 종족의 또 다른 분파는 전혀 다른 길을 개척했습니다. 이들은 모성계의 모든 자원을 동원하여 수 세기에 걸친 유례없는 공학적 업적 끝에 20척의 저거너트급 군함을 건조했습니다. 이 거대한 모선들은 단순한 이동식 도시일 뿐만 아니라 요새이기도 하며, 각 함선은 수천만 명의 밀리라를 수용하고 독립적으로 함대를 지휘하여 군사 작전"
하늘 엘프,Milira Race,Milira_Faction,Ultra,,,,20,500,"폰 I(144), 폰 II(144), 가드(216), 이터널 포트리스(480), 밀리라 숙련병(500), 나이트 I(216), 나이트 II(264), 비숍 II(216)",예,예,천상의 대도시나 몇몇 지상 정착지에 거주하고 있는 하늘 엘프들입니다. 이들은 고대로부터 이어지는 혈통과 폭넓은 지식을 보유하고 있습니다.
하늘깃털 교회,Milira Race,Milira_AngelismChurch,Spacer,,,,21,264,"용병 사수(85), 정예 용병(130), 용병 저격수(110), 하늘깃털 경비병(100), 용병 중화기병(140), 돌격병(65), 하늘깃털 전사(80), 용병 도살자(140)",예,,"하늘 엘프를 신으로 숭배하며 광신적인 태도를 보이는 추종자들로 구성된 세력입니다. 과거에는 하늘 엘프와 가까운 관계를 유지했던 것으로 보이며, 그들에게 지식과 힘이라는 이름의 축복을 갈구하곤 했습니다. 교회와 하늘 엘프의 접점은 오래 전에 사라졌지만, 이들은 여전히 하늘 엘프를 찾기 위해 탐구를 계속하고 있습니다."
모에로틀 왕조,MoeLotl Race,AxolotlWanderingDynasty,Medieval,,,,10,120,"모에로틀 사냥꾼(60), 모에로틀 척후병(90), 모에로틀 궁병(120), 모에로틀 표사(90), 모에로틀 정예병(120), 모에로틀 징집병(90), 모에로틀 쇠뇌병(90), 모에로틀 징집병(60)",예,,"뛰어난 신체 재생 능력을 갖춘 귀여운 도롱뇽들이 세운 새로운 왕조입니다.\n\n이들은 그 규모에도 불구하고 내부에 산적한 크고 작은 문제들로 인해 외부로 시선을 돌릴 여유가 없으며, 외부인에 대해 무신경한 태도를 보이곤 합니다."
교역 조합,Odyssey DLC,TradersGuild,Spacer,,,,4,140,"조합 총병(85), 조합 도살자(140), 조합 전문가(130), 중화기 운용병(140)",예,예,"궤도 상인들의 느슨한 연합으로, 행성 전역의 물품을 사고파는 궤도 시장을 형성합니다. 궤도 상인들은 행성간 무역선과도 거래를 하고 있어서 희귀한 기술에 접근할 수 있습니다.\n\n조합원들은 주로 안전한 궤도 플랫폼에서의 생활을 선호하기 때문에 행성 표면에서 직접 마주치는 일은 드뭅니다."
와해된 제국,Royalty DLC,Empire,Ultra,,,,5,150,"돌격병(65), 용사(100), 친위병(100), 근위병(150), 제국 척탄병(100)",예,예,"소피아문다 행성에서 온 첨단기술 피난 세력입니다. 기사도, 엄격한 사회 계급, 사회적 정체성을 강요하는 문화를 가지고 있습니다.\n\n이들은 소피안 사회를 분열시킨 대재앙에서 간신히 살아남았으며, 남은 함대를 모아 변경계로 도망쳐 왔습니다. 많은 희생을 치렀지만 그들의 함선과 기술은 여전히 매우 강력합니다.\n\n적절한 작위를 보유하지 않은 사람과는 거래하"
중립적인 고대인,코어,Ancients,Spacer,,,예,1,85,고대의 군인(85),예,,
곤충 혈족,코어,Insect,Animal,,,예,4,150,"스펠로피드(75), 메가스캐럽(40), 로커스트(55), 메가스파이더(150)",예,,"지하에 살다가 소음이나 페로몬 신호에 이끌려 땅을 파고 나오는 거대 곤충입니다. 원래 소른 행성에서 살았는데, 다항성계 기업들이 군체를 포획해서 유전자 편집과 배양을 통해 무기로 활용했었습니다. 누가 여기에 소른 곤충들을 두고 갔는지는 모르지만, 곤충들은 분명 여기에 있고 그 어느 때보다 위험합니다."
외지인 연합,코어,OutlanderCivil,Industrial,,,,7,140,"자경대원(60), 용병 사수(85), 정예 용병(130), 수장(40), 용병 도살자(140), 주민(45), 척탄병(70)",예,,"외지인들은 이곳에서 수 세기 동안 살아오면서 자신들을 이 행성으로 데려온 기술 대부분을 상실했습니다. 그러나 여전히 간단한 기계를 만들거나 건물을 건설할 수 있으며, 화기를 사용하여 스스로를 방어할 수 있습니다.\n\n이들은 무역, 신뢰, 생존과 같은 일반적인 문제에 대해 관심이 많습니다.\n\n이 세력은 신사적인 행동을 높이 평가합니다."
온화한 부족,코어,TribeCivil,Neolithic,,,,9,85,"궁수(45), 사냥꾼(60), 사수(75), 화살받이(40), 전사(50), 광전사(65), 우두머리(85), 우두머리(85)",예,,"이 행성에서 아주 오랜 시간 살아온 사람들입니다. 이들의 조상은 수천 년 전 불시착했을지도 모릅니다. 또는 이전에 존재하던 문명사회를 파괴한 재앙에서 살아남은 것일 수도 있습니다. 어떤 경우든 부족들은 대부분 유목민이며 오직 원시적인 도구와 무기만을 사용합니다.\n\n기술적인 약점이 분명하지만, 부족민들의 전투 능력, 많은 머릿수, 그리고 뛰어난 용기는 이"
실체,Anomaly DLC,Entities,Animal,,,예,0,,,,,
생귀오파지 무리,Biotech DLC,Sanguophages,Spacer,,,예,0,,,,,고대 생귀오파지 무리입니다.
거지 떼,Ideology DLC,Beggars,Neolithic,,,예,0,,,,,도움을 구걸하는 거지들입니다.
순례자,Ideology DLC,Pilgrims,Neolithic,,,예,0,,,,,고대 유물을 보러 온 순례자 무리입니다.
외지인 난민 집단,Royalty DLC,OutlanderRefugee,Industrial,,,예,0,,,,,고향을 잃었다고 주장하는 난민 집단입니다.
