세력,모드,packageId,defName,기술 수준,영구 적대,기본 적대,숨김,궤도(우주) 습격,최고 전투력,주요 전투 병종(전투력),선행 모드,목록에서 뺀 이유
holy order,Moosesian race,waffelf.moosesianrace,MooseChurch,Medieval,,예,,,800,"swordguard(400), Marshal(400), executioner(600), artifact seeker(400), high priest(800)",erdelf.humanoidalienraces,
호키리아 제국,Hawkia XenoMod,dackbird.hawkiaxenomod,HawkiriaEmpire,Industrial,,,,,500,"호키아 터미네이터 돌격병(500), Hawkia Cossacks Mercenary(80), 호키아 소총수(100), 호키아 터미네이터 지정사수(500), 호키아 돌격병(160), 호키아 자동소총 사수(200)",brrainz.harmony,
헬리오스의 요새,Atar Xenotype,atar.xenohuman.septentrionrace,Atar_Faction,Ultra,,,,,350,"조디악 사무라이(300), 헬나이트 가드(350), 아타르 보병(120), 헬 리퍼(300), 아타르 조디악 충무공(350), 아타르 전사(140)",,
Orion Corporation,Glitter Tech Classic,gt.sam.glittertech,OrionCo,Spacer,,예,,,300,"Orion Corp Soldier(150), Orion Corp Director(50), Orion Corp Demolitionist(180), Orion Corporation MBT(300)",,Glitter Tech / 기능 중복 / 영양죽 / 불필요 (2026-09-24 확정)
미호 재벌 제후국,"Miho, the celestial fox",miho.fortifiedoutremer,Miho_Faction_Megacorp,Spacer,,,,,250,"미호 보안대원(210), 미호 보안대원(210), 미호 자경대원(80), 미호 보안대 돌격병(225), 미호 전술 마법사(250), 미호 자경대원(80)","brrainz.harmony, erdelf.humanoidalienraces",
미호 패권주의자,"Miho, the celestial fox",miho.fortifiedoutremer,Miho_Faction_Supremacist,Spacer,,예,,,250,"미호 보안대원(210), 미호 보안대원(210), 미호 자경대원(80), 미호 보안대 돌격병(225), 미호 전술 마법사(250), 미호 자경대원(80)","brrainz.harmony, erdelf.humanoidalienraces",
kiiro,Kiiro Race,ancot.kiirorace,Kiiro_Faction,Medieval,,,,,250,"kiiro special force(250), kiiro guerrilla(110), kiiro militia(130), kiiro militia(105), kiiro militia(105), kiiro archer(105)","erdelf.humanoidalienraces, ancot.ancotlibrary",
R4PH31 종파,Monolyn Race,asel.monolynrace,RaphaelCult,Spacer,,,예,,250,"호위대(120), 석궁수(120), 석궁수(120), 서비터(100), Spearman(160), 선봉대(250)",erdelf.humanoidalienraces,
우주인 개척단,Rimsenal Faction Pack - Spacer,rimsenal.spacer,SpacerCivil,Spacer,,,,,210,"개척지 경비대(155), 밀리터(45), 개척지 유격대(210), 타그마톤(200), 스쿠타톤(200), 실로이드(45)",,B·C 선택 항목 중 제외 (2026-09-24 확정)
초기업 자원 착취단,Rimsenal Faction Pack - Spacer,rimsenal.spacer,SpacerRough,Spacer,,예,,,210,"초기업 경비대(105), 밀리터(45), 초기업 계약병(210), 타그마톤(200), 스쿠타톤(200), 실로이드(45)",,B·C 선택 항목 중 제외 (2026-09-24 확정)
차가운 아내,"Mincho, The Mint Choco Slime ~ HAR ver.",sutsutman.minchothemintchocoslimeharver,Mincho_Faction,Industrial,,,,,200,"민초 수비꾼(75), 민초 용병(90), 민초 기사(100), 민초 정예 기사(200), 민초 장로(20)","brrainz.harmony, erdelf.humanoidalienraces",
Littluna_Faction,[Aya]Littluna Race,ayameduki.harlittluna,Littluna_Faction_NPC,Spacer,,,예,,200,"リトルーナの住人(200), リトルーナのリーダー(200)","brrainz.harmony, erdelf.humanoidalienraces, ayameduki.ayaracepremise",Aya 인공종족
Colonization Forces,The Dead Man's Switch,aoba.deadmanswitch.core,DMS_Army,Spacer,,,,,200,"arquebusier(180), falcon(20), Pioneer(180), protector(180), jaeger(200), dogge(30)","brrainz.harmony, aoba.framework",D. Dead Man's Switch 시리즈 + 전용 프레임워크
아테르니티냐 제국 개척군,"Cane Aternitigno, The war dogs of battlefield Xenotypes and Faction",resurrectionem.canebellum,CG_Colony,Industrial,,예,,,200,"제국군 정규군(140), 제국군 예비군(110), 카라비니에리(180), 아르디티(200), 제국군 시가전팀(160), 카네 다 카치아(75)",brrainz.harmony,
제국 저항 세력,"Cane Aternitigno, The war dogs of battlefield Xenotypes and Faction",resurrectionem.canebellum,CG_Partigiano,Industrial,,,,,200,"제국군 정규군(140), 제국군 예비군(110), 카네 다 가디아(160), 카라비니에리(180), 아르디티(200), 제국군 시가전팀(160)",brrainz.harmony,
호키리아 코뮌연합,Hawkia XenoMod,dackbird.hawkiaxenomod,HawkiriaCommunistUnion,Industrial,,예,,,200,"Hawkia Cossacks Mercenary(80), 호키아 소총수(100), 호키아 자동소총 사수(200), 호키아 돌격병(160), 호키아 탱크헌터(170), 호키아 공병(130)",brrainz.harmony,
랫킨 왕국,NewRatkinPlus,solaris.ratkinracemod,Rakinia,Industrial,,,,,180,"기사(100), 정예 정원사(90), 전투원(60), 군인(90), 정예 방패병(180), 방패병(85)","erdelf.humanoidalienraces, brrainz.harmony",
Moosesian warband,Moosesian race,waffelf.moosesianrace,MooseTribe,Medieval,,,,,180,"light infantry(180), grenadier(95), line infantry(150), sapper grenadier(95), old guard grenadier(100), lifesaver(75)",erdelf.humanoidalienraces,
civil colonial expedition,A Brave New Frontier,kp.bravenewfrontier,KP_Offworlder_Civil,Spacer,,,,,160,"Heavy Shocktrooper(135), Heavy Infantry(115), Infantry(95), Militia(65), Ranger(100), Infantry Commander(160)",brrainz.harmony,B·C·E 제외 추천 (2026-09-24 확정)
Nearmaere_Faction,[Aya]Nearmare Race,ayameduki.harnearmare,Nearmaere_Faction_NPC,Spacer,,,,,150,"ニアメーアの銃士(150), ニアメーアの狙撃手(150), ニアメーアの工作員(150), ニアメーアの砲手(150), ニアメーアの住人(150), ニアメーアのリーダー(150)","brrainz.harmony, erdelf.humanoidalienraces, ayameduki.ayaracepremise",Aya 인공종족
Solark_Faction,[Aya]Solark Race,ayameduki.harsolark,Solark_Faction_NPC,Medieval,,,,,150,"ソルアークの住人(150), ソルアークのリーダー(150)","brrainz.harmony, erdelf.humanoidalienraces, ayameduki.ayaracepremise",Aya 인공종족
エンテレケイア,[Aya]Qualeela Race,ayameduki.harqualeela,Qualeela_Faction_NPC_c,Ultra,,예,,,150,"ミトラマルアハ(夜魔)(60), ミトラマルアハ(人魚)(60), ミトラマルアハ(亜人)(60), ミトラマルアハ(異形)(60), ミトラマルアハ(竜人)(60), ニアメーアの住人(150)","brrainz.harmony, erdelf.humanoidalienraces, ayameduki.ayaracepremise",Aya 인공종족
유란,Yuran race,rooandgloomy.yuranracemod,YuranNPC,Medieval,,,,,150,"유란(150), 유란(70), 유란 마을의 남자(120), 유란(120), 유란 마을의 남자(?), 유란(70)",erdelf.humanoidalienraces,
톳지 연맹,Totzi Xenotype Race,sanoo6.totzixenotypemod,OutlanderTotzi,Industrial,,,,,140,"자경대원(60), 용병 사수(85), 정예 용병(130), 수장(40), 용병 도살자(140), 주민(45)",,
reasonable daemonkin corporation,Helltaker Factions (continued),nephilim.helltakerfactions,SHX_Daemonkin_Corporation_Benevolent,Spacer,,,,,140,"enforcer(100), 용병 사수(85), charger(100), 용병 도살자(140), supressor(100), 정예 용병(130)","brrainz.harmony, oskarpotocki.vanillafactionsexpanded.core, lusty.helltakergenes, saruman.helltakerxenotypes, detvisor.pulseweaponry, vanillaexpanded.varme, kp.bravenewfrontier",
ruthless daemonkin corporation,Helltaker Factions (continued),nephilim.helltakerfactions,SHX_Daemonkin_Corporation_Aggressive,Spacer,,예,,,140,"enforcer(100), 용병 사수(85), charger(100), 용병 도살자(140), supressor(100), 정예 용병(130)","brrainz.harmony, oskarpotocki.vanillafactionsexpanded.core, lusty.helltakergenes, saruman.helltakerxenotypes, detvisor.pulseweaponry, vanillaexpanded.varme, kp.bravenewfrontier",
Nexaga_Faction,[Aya]Nexaga Race,ayameduki.harnexaga,Nexaga_Faction_NPC,Medieval,,,예,,130,"ネクサーガの住人(130), ネクサーガのリーダー(130)","brrainz.harmony, erdelf.humanoidalienraces",Aya 인공종족
Neclose_Faction,[Aya]Neclose Race,ayameduki.harneclose,Neclose_Faction_NPC,Medieval,,,,,100,"ネクロースの戦士(100), ゴアノイド(40), ゴアシード(40), ゴアスラブ(40), ネクロースのリーダー(100)","brrainz.harmony, erdelf.humanoidalienraces, ayameduki.ayaracepremise",Aya 인공종족
benevolent angelid legion,Helltaker Factions (continued),nephilim.helltakerfactions,SHX_Angelid_Legion_Benevolent,Spacer,,,,,100,"limitan(60), comitat(70), palatin(100), explorator(65), manuballistar(60), ballistar(70)","brrainz.harmony, oskarpotocki.vanillafactionsexpanded.core, lusty.helltakergenes, saruman.helltakerxenotypes, detvisor.pulseweaponry, vanillaexpanded.varme, kp.bravenewfrontier",
aggressive angelid legion,Helltaker Factions (continued),nephilim.helltakerfactions,SHX_Angelid_Legion_Aggressive,Spacer,,예,,,100,"limitan(60), comitat(70), palatin(100), explorator(65), manuballistar(60), ballistar(70)","brrainz.harmony, oskarpotocki.vanillafactionsexpanded.core, lusty.helltakergenes, saruman.helltakerxenotypes, detvisor.pulseweaponry, vanillaexpanded.varme, kp.bravenewfrontier",
relatively sane daemonkin institute,Helltaker Factions (continued),nephilim.helltakerfactions,SHX_Loremaster_Institute_Sane,Spacer,,,,,100,"밀리터(45), test subject(20), transdaemon enforcer(100), aspirant(60), test subject(35), test subject(20)","brrainz.harmony, oskarpotocki.vanillafactionsexpanded.core, lusty.helltakergenes, saruman.helltakerxenotypes, detvisor.pulseweaponry, vanillaexpanded.varme, kp.bravenewfrontier",
unhinged daemonkin institute,Helltaker Factions (continued),nephilim.helltakerfactions,SHX_Loremaster_Institute_Bonkers,Spacer,,예,,,100,"밀리터(45), test subject(20), transdaemon enforcer(100), aspirant(60), test subject(35), test subject(20)","brrainz.harmony, oskarpotocki.vanillafactionsexpanded.core, lusty.helltakergenes, saruman.helltakerxenotypes, detvisor.pulseweaponry, vanillaexpanded.varme, kp.bravenewfrontier",
Hellsing,Hellsing ARMS Ultimate,baskerville.hellsingarmsultimate,HSAU_Hellsing,Industrial,,,,,90,"Hell-Diver(80), Wild Geese Soldier(80), Royal Protestant Swordsman(80), Medium Soldier(90), Light Soldier(80), Wild Geese Grenadier(80)","erdelf.humanoidalienraces, oskarpotocki.vanillafactionsexpanded.core",성형수술·헬싱 제외 (헬테이커 계열은 이미 제외) (2026-09-24 확정)
skulking mammalkin tribe,Biotech Expansion - Mammalia,biotexpans.mammalia,TribeRoughMammals,Neolithic,,예,,,85,"penitent(40), warrior(50), berserker(65), None(85), breacher(55), archer(45)",biotexpans.core,"Mammalia 제외, Eccentric Tech 유지 (2026-09-24 확정)"
gentle mammalkin tribe,Biotech Expansion - Mammalia,biotexpans.mammalia,TribeCivilMammals,Neolithic,,,,,85,"penitent(40), warrior(50), berserker(65), None(85), breacher(55), archer(45)",biotexpans.core,"Mammalia 제외, Eccentric Tech 유지 (2026-09-24 확정)"
Xenoorca_Faction_b,[Aya]Xenoorca Race,ayameduki.harxenoorca,Xenoorca_Faction_NPC_b,Spacer,,,,,80,"オルカ傭兵団の兵士(80), オルカ傭兵団のリーダー(80)","brrainz.harmony, erdelf.humanoidalienraces, ayameduki.ayaracepremise",Aya 인공종족
Iscariot,Hellsing ARMS Ultimate,baskerville.hellsingarmsultimate,HSAU_Iscariot,Industrial,,,,,80,"Assassin of Judas(80), Papal Knight Swordsman(80), Papal Knight Rifleman(80), Papal Knight Elite (SB)(80), Papal Knight Elite (C)(80), Papal Knight Elite (SST)(80)","erdelf.humanoidalienraces, oskarpotocki.vanillafactionsexpanded.core",성형수술·헬싱 제외 (헬테이커 계열은 이미 제외) (2026-09-24 확정)
Silkiera_Faction,[Aya]Silkiera Race,ayameduki.harsilkiera,Silkiera_Faction_NPC,Ultra,,,,,70,"亜工製機械生命体リーパー(70), 亜工製機械生命体プレデター(70), 亜工製機械生命体シャドー(30), 亜工製機械生命体ソルジャー(70), 亜人工業のリーダー(35), 亜人工業の銃士(35)","brrainz.harmony, erdelf.humanoidalienraces, ayameduki.ayaracepremise",Aya 인공종족
Saclean_Faction,[Aya]Saclean Race,ayameduki.harsaclean,Saclean_Faction_NPC,Medieval,,,예,,30,"サクリーンの住人(30), サクリーンのリーダー(30)","brrainz.harmony, erdelf.humanoidalienraces, ayameduki.ayaracepremise",Aya 인공종족
