방/갑판,건물,defName,모드,x(좌상),y(좌상),가로,세로,작업칸,전력(W),연결 설비 수,연결 보너스
개인 침실 10,큰 고급 침대,Bed_AdvDoubleBed,Vanilla Furniture Expanded - Spacer Module,61,28,2,2,,0.0,,
개인 침실 10,협탁,EndTable,코어,65,28,1,1,,0.0,,
개인 침실 10,협탁,EndTable,코어,66,28,1,1,,0.0,,
개인 침실 11,산소 펌프,OxygenPump,Odyssey DLC,77,35,1,1,,-150.0,,
개인 침실 11,옷장,Dresser,코어,78,28,2,1,,0.0,,
개인 침실 11,큰 고급 침대,Bed_AdvDoubleBed,Vanilla Furniture Expanded - Spacer Module,76,28,2,2,,0.0,,
개인 침실 11,협탁,EndTable,코어,80,28,1,1,,0.0,,
개인 침실 11,협탁,EndTable,코어,81,28,1,1,,0.0,,
개인 침실 12,산소 펌프,OxygenPump,Odyssey DLC,88,35,1,1,,-150.0,,
개인 침실 12,옷장,Dresser,코어,89,28,2,1,,0.0,,
개인 침실 12,큰 고급 침대,Bed_AdvDoubleBed,Vanilla Furniture Expanded - Spacer Module,87,28,2,2,,0.0,,
개인 침실 12,협탁,EndTable,코어,91,28,1,1,,0.0,,
개인 침실 12,협탁,EndTable,코어,92,28,1,1,,0.0,,
개인 침실 13,산소 펌프,OxygenPump,Odyssey DLC,51,44,1,1,,-150.0,,
개인 침실 13,옷장,Dresser,코어,52,37,2,1,,0.0,,
개인 침실 13,큰 고급 침대,Bed_AdvDoubleBed,Vanilla Furniture Expanded - Spacer Module,50,37,2,2,,0.0,,
개인 침실 13,협탁,EndTable,코어,54,37,1,1,,0.0,,
개인 침실 13,협탁,EndTable,코어,55,37,1,1,,0.0,,
개인 침실 14,산소 펌프,OxygenPump,Odyssey DLC,62,44,1,1,,-150.0,,
개인 침실 14,옷장,Dresser,코어,63,37,2,1,,0.0,,
개인 침실 14,큰 고급 침대,Bed_AdvDoubleBed,Vanilla Furniture Expanded - Spacer Module,61,37,2,2,,0.0,,
개인 침실 14,협탁,EndTable,코어,65,37,1,1,,0.0,,
개인 침실 14,협탁,EndTable,코어,66,37,1,1,,0.0,,
개인 침실 15,산소 펌프,OxygenPump,Odyssey DLC,77,44,1,1,,-150.0,,
개인 침실 15,옷장,Dresser,코어,78,37,2,1,,0.0,,
개인 침실 15,큰 고급 침대,Bed_AdvDoubleBed,Vanilla Furniture Expanded - Spacer Module,76,37,2,2,,0.0,,
개인 침실 15,협탁,EndTable,코어,80,37,1,1,,0.0,,
개인 침실 15,협탁,EndTable,코어,81,37,1,1,,0.0,,
개인 침실 16,산소 펌프,OxygenPump,Odyssey DLC,88,44,1,1,,-150.0,,
개인 침실 16,옷장,Dresser,코어,89,37,2,1,,0.0,,
개인 침실 16,큰 고급 침대,Bed_AdvDoubleBed,Vanilla Furniture Expanded - Spacer Module,87,37,2,2,,0.0,,
개인 침실 16,협탁,EndTable,코어,91,37,1,1,,0.0,,
개인 침실 16,협탁,EndTable,코어,92,37,1,1,,0.0,,
개인 침실 2,산소 펌프,OxygenPump,Odyssey DLC,62,17,1,1,,-150.0,,
개인 침실 2,옷장,Dresser,코어,63,10,2,1,,0.0,,
개인 침실 2,큰 고급 침대,Bed_AdvDoubleBed,Vanilla Furniture Expanded - Spacer Module,61,10,2,2,,0.0,,
개인 침실 2,협탁,EndTable,코어,65,10,1,1,,0.0,,
개인 침실 2,협탁,EndTable,코어,66,10,1,1,,0.0,,
개인 침실 3,산소 펌프,OxygenPump,Odyssey DLC,51,26,1,1,,-150.0,,
개인 침실 3,옷장,Dresser,코어,52,19,2,1,,0.0,,
개인 침실 3,큰 고급 침대,Bed_AdvDoubleBed,Vanilla Furniture Expanded - Spacer Module,50,19,2,2,,0.0,,
개인 침실 3,협탁,EndTable,코어,54,19,1,1,,0.0,,
개인 침실 3,협탁,EndTable,코어,55,19,1,1,,0.0,,
개인 침실 4,"""토네이도"" 이온 회전포",MiliraImperiumTurret_MiniGun,Milira Faction: Milira Imperium,67,19,2,2,,0.0,,
개인 침실 4,산소 펌프,OxygenPump,Odyssey DLC,62,26,1,1,,-150.0,,
개인 침실 4,옷장,Dresser,코어,63,19,2,1,,0.0,,
개인 침실 4,큰 고급 침대,Bed_AdvDoubleBed,Vanilla Furniture Expanded - Spacer Module,61,19,2,2,,0.0,,
개인 침실 4,협탁,EndTable,코어,65,19,1,1,,0.0,,
개인 침실 4,협탁,EndTable,코어,66,19,1,1,,0.0,,
개인 침실 5,산소 펌프,OxygenPump,Odyssey DLC,77,17,1,1,,-150.0,,
개인 침실 5,옷장,Dresser,코어,78,10,2,1,,0.0,,
개인 침실 5,큰 고급 침대,Bed_AdvDoubleBed,Vanilla Furniture Expanded - Spacer Module,76,10,2,2,,0.0,,
개인 침실 5,협탁,EndTable,코어,80,10,1,1,,0.0,,
개인 침실 5,협탁,EndTable,코어,81,10,1,1,,0.0,,
개인 침실 6,산소 펌프,OxygenPump,Odyssey DLC,88,17,1,1,,-150.0,,
개인 침실 6,옷장,Dresser,코어,89,10,2,1,,0.0,,
개인 침실 6,큰 고급 침대,Bed_AdvDoubleBed,Vanilla Furniture Expanded - Spacer Module,87,10,2,2,,0.0,,
개인 침실 6,협탁,EndTable,코어,91,10,1,1,,0.0,,
개인 침실 6,협탁,EndTable,코어,92,10,1,1,,0.0,,
개인 침실 7,산소 펌프,OxygenPump,Odyssey DLC,77,26,1,1,,-150.0,,
개인 침실 7,옷장,Dresser,코어,78,19,2,1,,0.0,,
개인 침실 7,큰 고급 침대,Bed_AdvDoubleBed,Vanilla Furniture Expanded - Spacer Module,76,19,2,2,,0.0,,
개인 침실 7,협탁,EndTable,코어,80,19,1,1,,0.0,,
개인 침실 7,협탁,EndTable,코어,81,19,1,1,,0.0,,
개인 침실 8,산소 펌프,OxygenPump,Odyssey DLC,88,26,1,1,,-150.0,,
개인 침실 8,옷장,Dresser,코어,89,19,2,1,,0.0,,
개인 침실 8,큰 고급 침대,Bed_AdvDoubleBed,Vanilla Furniture Expanded - Spacer Module,87,19,2,2,,0.0,,
개인 침실 8,협탁,EndTable,코어,91,19,1,1,,0.0,,
개인 침실 8,협탁,EndTable,코어,92,19,1,1,,0.0,,
개인 침실 9,산소 펌프,OxygenPump,Odyssey DLC,51,35,1,1,,-150.0,,
개인 침실 9,옷장,Dresser,코어,52,28,2,1,,0.0,,
개인 침실 9,큰 고급 침대,Bed_AdvDoubleBed,Vanilla Furniture Expanded - Spacer Module,50,28,2,2,,0.0,,
개인 침실 9,협탁,EndTable,코어,54,28,1,1,,0.0,,
개인 침실 9,협탁,EndTable,코어,55,28,1,1,,0.0,,
경비 통로,산소 펌프,OxygenPump,Odyssey DLC,146,28,1,1,,-150.0,,
교도 통로,산소 펌프,OxygenPump,Odyssey DLC,115,51,1,1,,-150.0,,
금속·부품 작업실,"""토네이도"" 이온 회전포",MiliraImperiumTurret_MiniGun,Milira Faction: Milira Imperium,59,93,2,2,,0.0,,
금속·부품 작업실,3D 프린터,HobbesLink_3DPrinter,Even More Linkables Reupload,68,99,1,1,,-435.0,,
금속·부품 작업실,3D 프린터,HobbesLink_3DPrinter,Even More Linkables Reupload,67,105,1,1,,-435.0,,
금속·부품 작업실,3D 프린터,HobbesLink_3DPrinter,Even More Linkables Reupload,71,106,1,1,,-435.0,,
금속·부품 작업실,3D 프린터,HobbesLink_3DPrinter,Even More Linkables Reupload,71,107,1,1,,-435.0,,
금속·부품 작업실,3D 프린터,HobbesLink_3DPrinter,Even More Linkables Reupload,66,111,1,1,,-435.0,,
금속·부품 작업실,3D 프린터,HobbesLink_3DPrinter,Even More Linkables Reupload,65,98,1,1,,-435.0,,
금속·부품 작업실,3D 프린터,HobbesLink_3DPrinter,Even More Linkables Reupload,69,98,1,1,,-435.0,,
금속·부품 작업실,3D 프린터,HobbesLink_3DPrinter,Even More Linkables Reupload,69,103,1,1,,-435.0,,
금속·부품 작업실,3D 프린터,HobbesLink_3DPrinter,Even More Linkables Reupload,66,108,1,1,,-435.0,,
금속·부품 작업실,3D 프린터,HobbesLink_3DPrinter,Even More Linkables Reupload,60,103,1,1,,-435.0,,
금속·부품 작업실,3D 프린터,HobbesLink_3DPrinter,Even More Linkables Reupload,60,104,1,1,,-435.0,,
금속·부품 작업실,CMC 나노 CNC 작업대,CMC_TableMachining,CeleTech Arsenal MKIII,61,103,2,3,"63,104",-800.0,13,작업 속도 계수 +325%
금속·부품 작업실,CMC 종합 공구함,CMCCabinet,CeleTech Arsenal MKIII,59,106,2,2,,-50.0,,
금속·부품 작업실,CMC 주조 가공대,CMC_FacBench,CeleTech Arsenal MKIII,66,106,5,2,"68,105",-1200.0,12,작업 속도 계수 +320%
금속·부품 작업실,CNC 머신,HobbesLink_CNCMachine,Even More Linkables Reupload,66,104,1,2,,-300.0,,
금속·부품 작업실,CNC 머신,HobbesLink_CNCMachine,Even More Linkables Reupload,73,105,2,1,,-300.0,,
금속·부품 작업실,CNC 머신,HobbesLink_CNCMachine,Even More Linkables Reupload,66,98,2,1,,-300.0,,
금속·부품 작업실,CNC 머신,HobbesLink_CNCMachine,Even More Linkables Reupload,70,98,2,1,,-300.0,,
금속·부품 작업실,CNC 머신,HobbesLink_CNCMachine,Even More Linkables Reupload,65,107,1,2,,-300.0,,
금속·부품 작업실,CNC 머신,HobbesLink_CNCMachine,Even More Linkables Reupload,59,105,2,1,,-300.0,,
금속·부품 작업실,고급 보호막 생성기,AdvShip_ShieldGenerator,GravTech,50,93,3,3,,-1100.0,,
금속·부품 작업실,공업 선반,HobbesLink_Lathe,Even More Linkables Reupload,71,103,2,1,,-300.0,,
금속·부품 작업실,공업 선반,HobbesLink_Lathe,Even More Linkables Reupload,70,109,1,2,,-300.0,,
금속·부품 작업실,공업 선반,HobbesLink_Lathe,Even More Linkables Reupload,62,96,1,2,,-300.0,,
금속·부품 작업실,과학자 캐비닛,ToolCabinetC,More Linkables,65,105,1,2,,-250.0,,
금속·부품 작업실,기계 작업 수납장,VFE_MachiningCabinet,Vanilla Furniture Expanded - Production,62,94,1,2,,0.0,,
금속·부품 작업실,기계 작업 수납장,VFE_MachiningCabinet,Vanilla Furniture Expanded - Production,75,98,1,2,,0.0,,
금속·부품 작업실,기계 작업 수납장,VFE_MachiningCabinet,Vanilla Furniture Expanded - Production,75,103,2,1,,0.0,,
금속·부품 작업실,기계 작업 수납장,VFE_MachiningCabinet,Vanilla Furniture Expanded - Production,59,108,2,1,,0.0,,
금속·부품 작업실,기계 작업대,TableMachining,코어,65,99,3,1,"66,100",-350.0,15,작업 속도 계수 +355%
금속·부품 작업실,기계 캐비닛,ToolCabinetB,More Linkables,73,103,2,1,,0.0,,
금속·부품 작업실,기계 캐비닛,ToolCabinetB,More Linkables,61,106,2,1,,0.0,,
금속·부품 작업실,나노 제작기,EccentricNanofabricator,Eccentric Tech - Core,53,93,3,2,"54,95",-400.0,,
금속·부품 작업실,나노 조립기,EccentricNanoassembler,Eccentric Tech - Core,69,99,3,2,"70,101",-600.0,12,작업 속도 계수 +320%
금속·부품 작업실,단조 작업 수납장,VFE_SmithyCabinet,Vanilla Furniture Expanded - Production,74,98,1,2,,0.0,,
금속·부품 작업실,단조 작업 수납장,VFE_SmithyCabinet,Vanilla Furniture Expanded - Production,75,105,2,1,,0.0,,
금속·부품 작업실,대형 기계 작업대,VFE_TableMachiningLarge,Vanilla Furniture Expanded - Production,72,106,2,5,"71,108",-600.0,15,작업 속도 계수 +360%
금속·부품 작업실,대형 적재함(대량),jdgg_MassCargoHold,Cargo Holds,65,93,5,5,,0.0,,
금속·부품 작업실,대형 적재함(대량),jdgg_MassCargoHold,Cargo Holds,70,93,5,5,,0.0,,
금속·부품 작업실,무기 개조 작업대,CMC_WeaponModificationBench,CeleTech Arsenal MKIII,56,93,2,2,,-75.0,,
금속·부품 작업실,밀리언 충전기,Milian_Recharger,Milira Race,62,93,1,1,,-240.0,,
금속·부품 작업실,밀리언 충전기,Milian_Recharger,Milira Race,75,93,1,1,,-240.0,,
금속·부품 작업실,바이스,HobbesLink_Vice,Even More Linkables Reupload,65,103,1,1,,0.0,,
금속·부품 작업실,바이스,HobbesLink_Vice,Even More Linkables Reupload,65,100,1,1,,0.0,,
금속·부품 작업실,바이스,HobbesLink_Vice,Even More Linkables Reupload,61,109,1,1,,0.0,,
금속·부품 작업실,바이스,HobbesLink_Vice,Even More Linkables Reupload,62,109,1,1,,0.0,,
금속·부품 작업실,바이스,HobbesLink_Vice,Even More Linkables Reupload,77,109,1,1,,0.0,,
금속·부품 작업실,바이스,HobbesLink_Vice,Even More Linkables Reupload,76,111,1,1,,0.0,,
금속·부품 작업실,산소 펌프,OxygenPump,Odyssey DLC,50,110,1,1,,-150.0,,
금속·부품 작업실,산소 펌프,OxygenPump,Odyssey DLC,51,110,1,1,,-150.0,,
금속·부품 작업실,산소 펌프,OxygenPump,Odyssey DLC,52,110,1,1,,-150.0,,
금속·부품 작업실,산업용 오븐,HobbesLink_IndustrialOven,Even More Linkables Reupload,67,100,1,1,,-75.0,,
금속·부품 작업실,소각로,HobbesLink_Incinerator,Even More Linkables Reupload,74,106,2,2,,-25.0,,
금속·부품 작업실,소각로,HobbesLink_Incinerator,Even More Linkables Reupload,72,98,2,2,,-25.0,,
금속·부품 작업실,소각로,HobbesLink_Incinerator,Even More Linkables Reupload,61,107,2,2,,-25.0,,
금속·부품 작업실,소화 드론,ExtinguisherHunterDrone,Extinguisher Drone,58,93,1,1,,0.0,,
금속·부품 작업실,우주 시대 선반,HobbesLink_Spacer_Lathe,Even More Linkables Reupload,66,103,3,1,,-600.0,,
금속·부품 작업실,우주 시대 선반,HobbesLink_Spacer_Lathe,Even More Linkables Reupload,67,111,3,1,,-600.0,,
금속·부품 작업실,원심분리기,HobbesLink_Centrifuge,Even More Linkables Reupload,75,109,1,1,,-25.0,,
금속·부품 작업실,원심분리기,HobbesLink_Centrifuge,Even More Linkables Reupload,61,110,1,1,,-25.0,,
금속·부품 작업실,원심분리기,HobbesLink_Centrifuge,Even More Linkables Reupload,62,99,1,1,,-25.0,,
금속·부품 작업실,전기 단조 작업대,ElectricSmithy,코어,67,104,3,1,"68,105",-210.0,12,작업 속도 계수 +335%
금속·부품 작업실,전기로,ElectricSmelter,코어,71,104,3,1,"72,105",-700.0,6,작업 속도 계수 +135%
금속·부품 작업실,조립 작업 수납장,VFE_FabricationCabinet,Vanilla Furniture Expanded - Production,76,106,1,2,,0.0,,
금속·부품 작업실,조립 작업 수납장,VFE_FabricationCabinet,Vanilla Furniture Expanded - Production,77,110,1,2,,0.0,,
금속·부품 작업실,조립 작업 수납장,VFE_FabricationCabinet,Vanilla Furniture Expanded - Production,76,93,2,1,,0.0,,
금속·부품 작업실,조립 작업대,FabricationBench,코어,65,109,5,2,"67,108",-250.0,14,작업 속도 계수 +345%
금속·부품 작업실,컨베이어 벨트,HobbesLink_ConveyorBelt,Even More Linkables Reupload,74,108,1,3,,-25.0,,
금속·부품 작업실,컨베이어 벨트,HobbesLink_ConveyorBelt,Even More Linkables Reupload,72,100,3,1,,-25.0,,
금속·부품 작업실,컨베이어 벨트,HobbesLink_ConveyorBelt,Even More Linkables Reupload,74,104,3,1,,-25.0,,
금속·부품 작업실,향상된 캐비닛,ToolCabinetA,More Linkables,75,100,2,1,,0.0,,
금속·부품 작업실,향상된 캐비닛,ToolCabinetA,More Linkables,58,105,1,2,,0.0,,
금속·부품 작업실,향상된 캐비닛,ToolCabinetA,More Linkables,59,95,2,1,,0.0,,
기계실,냉각 파일런,CoolerPylon_GT,GravTech,81,76,1,1,,30.0,,
기계실,냉각 파일런,CoolerPylon_GT,GravTech,82,76,1,1,,30.0,,
기계실,산소 펌프,OxygenPump,Odyssey DLC,80,87,1,1,,-150.0,,
기계실,소화 드론,ExtinguisherHunterDrone,Extinguisher Drone,83,76,1,1,,0.0,,
기계실,자기 보호막 발생기,Building_RTMagneticShield,RT Solar Flare Shield,79,76,2,2,,-50.0,,
남동 공실,산소 펌프,OxygenPump,Odyssey DLC,103,107,1,1,,-150.0,,
남동 공실,산소 펌프,OxygenPump,Odyssey DLC,104,113,1,1,,-150.0,,
남동 공실 2,산소 펌프,OxygenPump,Odyssey DLC,132,93,1,1,,-150.0,,
남서 격납 갑판,FLS-03 거점 방공 체계,CMC_SAML,CeleTech Arsenal MKIII,17,101,3,3,,-3300.0,,
남서 격납 갑판,레이저 포인트 방어 포탑,NCL_LaserDefenceTurret,Mechanoids: Total Warfare,34,95,2,2,,-150.0,,
남서 격납 갑판,레이저 포인트 방어 포탑,NCL_LaserDefenceTurret,Mechanoids: Total Warfare,12,111,2,2,,-150.0,,
남서 격납 갑판,무역 송신기,OrbitalTradeBeacon,코어,24,94,1,1,,-40.0,,
남서 격납 갑판,무역 송신기,OrbitalTradeBeacon,코어,24,110,1,1,,-40.0,,
남서 격납 갑판,밀리라 해리어 전투기,Milira_HarrierFighter,Milira Race,27,95,3,3,"28,98",0.0,,
남서 격납 갑판,밀리라 해리어 전투기,Milira_HarrierFighter,Milira Race,7,107,3,3,"8,110",0.0,,
남서 격납 갑판,밀리라 해리어 전투기,Milira_HarrierFighter,Milira Race,40,102,3,3,"41,105",0.0,,
남서 격납 갑판,밀리라 해리어 전투기,Milira_HarrierFighter,Milira Race,28,109,3,3,"29,112",0.0,,
남서 격납 갑판,발사대,PodLauncher,코어,34,109,1,2,,0.0,,
남서 격납 갑판,발사대,PodLauncher,코어,41,109,1,2,,0.0,,
남서 격납 갑판,복제된 역장 발생기,PLAMilira_Field_Tower_Player,Milira:Wings of Democracy,28,102,3,3,,0.0,,
남서 격납 갑판,상선 투하 지점,DropSpotTradeShip,Trading Control,5,111,1,1,,0.0,,
남서 격납 갑판,소형 보호막 발생기,ASG_SmallWallShieldGenerator,Reflection Shield Generator,18,100,1,1,,-1000.0,,
남서 격납 갑판,여객 왕복선,PassengerShuttle,Odyssey DLC,40,94,3,5,"43,96",0.0,,
남서 격납 갑판,여객 왕복선,PassengerShuttle,Odyssey DLC,33,101,3,5,"36,103",0.0,,
남서 격납 갑판,왕복선 착륙장,Spaceports_ShuttleLandingPad,Rimsential - Spaceports (Continued),2,94,7,5,,-100.0,,
남서 격납 갑판,우주 공항 신호기,Spaceports_Beacon,Rimsential - Spaceports (Continued),23,111,3,3,,-300.0,,
남서 격납 갑판,함재 4면 위상 배열 레이더,CMC_CICAESA_Radar_Small,CeleTech Arsenal MKIII,4,102,3,3,,-16000.0,,
남측 에어록 1,보호막 파일런,ShieldPylon_GT,GravTech,52,116,1,1,,0.0,,
남측 에어록 1,산소 펌프,OxygenPump,Odyssey DLC,46,113,1,1,,-150.0,,
남측 에어록 2,보호막 파일런,ShieldPylon_GT,GravTech,96,116,1,1,,0.0,,
남측 에어록 2,산소 펌프,OxygenPump,Odyssey DLC,94,113,1,1,,-150.0,,
대식당,"""토네이도"" 이온 회전포",MiliraImperiumTurret_MiniGun,Milira Faction: Milira Imperium,79,50,2,2,,0.0,,
대식당,밀리언 충전기,Milian_Recharger,Milira Race,81,50,1,1,,-240.0,,
대식당,밀리언 충전기,Milian_Recharger,Milira Race,82,50,1,1,,-240.0,,
대식당,산소 펌프,OxygenPump,Odyssey DLC,76,60,1,1,,-150.0,,
대식당,산소 펌프,OxygenPump,Odyssey DLC,78,61,1,1,,-150.0,,
대식당,플라즈마 근접 방어 체계,MiliraImperiumTurret_PointDefense,Milira Faction: Milira Imperium,76,50,3,3,,0.0,,
동쪽 공실,산소 펌프,OxygenPump,Odyssey DLC,146,24,1,1,,-150.0,,
동측 경비실,"""토네이도"" 이온 회전포",MiliraImperiumTurret_MiniGun,Milira Faction: Milira Imperium,155,58,2,2,,0.0,,
동측 경비실,"""토네이도"" 이온 회전포",MiliraImperiumTurret_MiniGun,Milira Faction: Milira Imperium,155,68,2,2,,0.0,,
동측 경비실,"""토네이도"" 이온 회전포",MiliraImperiumTurret_MiniGun,Milira Faction: Milira Imperium,155,78,2,2,,0.0,,
동측 경비실,밀리언 충전기,Milian_Recharger,Milira Race,155,32,1,1,,-240.0,,
동측 경비실,밀리언 충전기,Milian_Recharger,Milira Race,155,36,1,1,,-240.0,,
동측 경비실,밀리언 충전기,Milian_Recharger,Milira Race,155,40,1,1,,-240.0,,
동측 경비실,산소 펌프,OxygenPump,Odyssey DLC,154,31,1,1,,-150.0,,
동측 경비실,산소 펌프,OxygenPump,Odyssey DLC,156,31,1,1,,-150.0,,
동측 경비실,소형 보호막 발생기,ASG_SmallWallShieldGenerator,Reflection Shield Generator,155,46,1,1,,-1000.0,,
동측 경비실,소형 보호막 발생기,ASG_SmallWallShieldGenerator,Reflection Shield Generator,155,52,1,1,,-1000.0,,
동측 경비실,소형 보호막 발생기,ASG_SmallWallShieldGenerator,Reflection Shield Generator,154,59,1,1,,-1000.0,,
동측 경비실,소형 보호막 발생기,ASG_SmallWallShieldGenerator,Reflection Shield Generator,155,62,1,1,,-1000.0,,
동측 경비실,소형 보호막 발생기,ASG_SmallWallShieldGenerator,Reflection Shield Generator,155,67,1,1,,-1000.0,,
동측 경비실,소형 보호막 발생기,ASG_SmallWallShieldGenerator,Reflection Shield Generator,155,76,1,1,,-1000.0,,
동측 경비실,소형 보호막 발생기,ASG_SmallWallShieldGenerator,Reflection Shield Generator,155,77,1,1,,-1000.0,,
동측 경비실,소형 보호막 발생기,ASG_SmallWallShieldGenerator,Reflection Shield Generator,155,87,1,1,,-1000.0,,
동측 경비실,소화 드론,ExtinguisherHunterDrone,Extinguisher Drone,153,30,1,1,,0.0,,
동측 경비실,승강식 유탄포,CMC_ReinforcedBunkerAGS_R,CeleTech Arsenal MKIII,154,53,3,3,,-200.0,,
동측 경비실,승강식 중기관총 벙커,CMC_ReinforcedBunker,CeleTech Arsenal MKIII,154,63,3,3,,-200.0,,
동측 경비실,승강식 중기관총 벙커,CMC_ReinforcedBunker,CeleTech Arsenal MKIII,154,73,3,3,,-200.0,,
동측 경비실,승강식 화염방사 벙커,CMC_ReinforcedBunker_Fire,CeleTech Arsenal MKIII,154,47,3,3,,-720.0,,
동측 경비실,승강식 화염방사 벙커,CMC_ReinforcedBunker_Fire,CeleTech Arsenal MKIII,154,84,3,3,,-720.0,,
동측 경비실,엄폐물,Barricade,코어,154,46,1,1,,0.0,,
동측 경비실,엄폐물,Barricade,코어,154,50,1,1,,0.0,,
동측 경비실,엄폐물,Barricade,코어,154,52,1,1,,0.0,,
동측 경비실,엄폐물,Barricade,코어,154,56,1,1,,0.0,,
동측 경비실,엄폐물,Barricade,코어,154,58,1,1,,0.0,,
동측 경비실,엄폐물,Barricade,코어,154,60,1,1,,0.0,,
동측 경비실,엄폐물,Barricade,코어,154,62,1,1,,0.0,,
동측 경비실,엄폐물,Barricade,코어,154,66,1,1,,0.0,,
동측 경비실,엄폐물,Barricade,코어,154,68,1,1,,0.0,,
동측 경비실,엄폐물,Barricade,코어,154,70,1,1,,0.0,,
동측 경비실,엄폐물,Barricade,코어,154,72,1,1,,0.0,,
동측 경비실,엄폐물,Barricade,코어,154,76,1,1,,0.0,,
동측 경비실,엄폐물,Barricade,코어,154,78,1,1,,0.0,,
동측 경비실,엄폐물,Barricade,코어,154,80,1,1,,0.0,,
동측 경비실,엄폐물,Barricade,코어,154,82,1,1,,0.0,,
동측 경비실,엄폐물,Barricade,코어,154,88,1,1,,0.0,,
메카 제작실,간이 제작 장소,CraftingSpot,코어,25,80,1,1,"26,80",0.0,0,
메카 제작실,고급 메카 배양기,AdvancedMechGestator,Tiered Mechs,43,78,2,3,"42,78",-450.0,,
메카 제작실,대형 메카노이드 배양기,LargeMechGestator,Biotech DLC,25,76,3,4,"28,79",-500.0,,
메카 제작실,대형 메카노이드 배양기,LargeMechGestator,Biotech DLC,28,76,4,3,"28,79",-500.0,,
메카 제작실,대형 메카노이드 배양기,LargeMechGestator,Biotech DLC,32,76,3,4,"35,79",-500.0,,
메카 제작실,대형 적재함(대량),jdgg_MassCargoHold,Cargo Holds,29,83,5,5,,0.0,,
메카 제작실,메카노이드 배양기,MechGestator,Biotech DLC,41,76,3,2,"41,78",-350.0,,
메카 제작실,밀리언 배양기,Milian_Gestator,Milira Race,35,76,3,2,"36,78",-350.0,,
메카 제작실,밀리언 배양기,Milian_Gestator,Milira Race,38,76,3,2,"39,78",-350.0,,
메카 제작실,산소 펌프,OxygenPump,Odyssey DLC,25,86,1,1,,-150.0,,
메카 제작실,산소 펌프,OxygenPump,Odyssey DLC,27,87,1,1,,-150.0,,
메카 제작실,서브코어 립스캐너,SubcoreRipscanner,Biotech DLC,25,84,3,2,"26,86",-150.0,,
메카 제작실,서브코어 부호기,SubcoreEncoder,Biotech DLC,25,82,3,2,"26,81",-50.0,,
메카 제작실,서브코어 소프트스캐너,SubcoreSoftscanner,Biotech DLC,42,82,3,2,"43,81",-150.0,,
메카 제작실,소화 드론,ExtinguisherHunterDrone,Extinguisher Drone,44,84,1,1,,0.0,,
무기고,룬 작업대,Isekai_RunicStation,ISEKAI RPG LEVELING,31,63,1,1,"31,64",0.0,,
무기고,메카 무기 교체장치,MechaWeaponChanger,[DHM]MechaWeaponChanger,25,63,3,2,"26,65",-10.0,,
무기고,무기 진열대,Shelf_WeaponRack,Vanilla Furniture Expanded,36,63,2,1,,0.0,,
